Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
34365,20.0,0.0,0.0,-2.2634144
34365,20.0,0.0,20.0,-2.5645666
34365,20.0,0.0,40.0,-2.689522
34365,20.0,0.0,60.0,-2.8093252
34365,20.0,0.0,80.0,-2.8138177
34365,20.0,0.0,100.0,-2.6685286
34365,20.0,0.0,120.0,-2.7443478
34365,20.0,0.0,140.0,-2.5821462
34365,20.0,0.0,160.0,-2.957558
34365,20.0,0.0,180.0,-3.063246
34365,20.0,0.0,200.0,-3.0544336
34365,20.0,0.0,220.0,-2.6431959
34365,20.0,0.0,240.0,-2.819303
34365,20.0,0.0,260.0,-2.9772103
34365,20.0,0.0,280.0,-2.4492984
34365,20.0,0.0,300.0,-2.3901129
34365,20.0,0.0,320.0,-2.780362
34365,20.0,0.0,340.0,-2.2720723
34365,20.0,20.0,0.0,-2.568211
34365,20.0,20.0,20.0,-2.5543954
34365,20.0,20.0,40.0,-2.4264312
34365,20.0,20.0,60.0,-3.003801
34365,20.0,20.0,80.0,-3.0281475
34365,20.0,20.0,100.0,-2.8913136
34365,20.0,20.0,120.0,-2.3778665
34365,20.0,20.0,140.0,-2.7823439
34365,20.0,20.0,160.0,-3.30915
34365,20.0,20.0,180.0,-2.8940434
34365,20.0,20.0,200.0,-2.9628222
34365,20.0,20.0,220.0,-2.84029
34365,20.0,20.0,240.0,-2.7319932
34365,20.0,20.0,260.0,-2.9173257
34365,20.0,20.0,280.0,-2.3436782
34365,20.0,20.0,300.0,-2.456436
34365,20.0,20.0,320.0,-2.9260457
34365,20.0,20.0,340.0,-2.650828
34365,20.0,40.0,0.0,-2.5994725
34365,20.0,40.0,20.0,-2.9699633
34365,20.0,40.0,40.0,-2.5341876
34365,20.0,40.0,60.0,-2.9444551
34365,20.0,40.0,80.0,-3.2212744
34365,20.0,40.0,100.0,-2.8220856
34365,20.0,40.0,120.0,-2.3762593
34365,20.0,40.0,140.0,-2.7489064
34365,20.0,40.0,160.0,-3.3301613
34365,20.0,40.0,180.0,-2.7504382
34365,20.0,40.0,200.0,-2.8337252
