Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
43695,20.0,0.0,0.0,-3.8555765
43695,20.0,0.0,20.0,-3.9472268
43695,20.0,0.0,40.0,-3.8861167
43695,20.0,0.0,60.0,-3.6662984
43695,20.0,0.0,80.0,-3.9549363
43695,20.0,0.0,100.0,-3.637931
43695,20.0,0.0,120.0,-3.7655356
43695,20.0,0.0,140.0,-4.0017767
43695,20.0,0.0,160.0,-4.1724176
43695,20.0,0.0,180.0,-4.1885495
43695,20.0,0.0,200.0,-4.154386
43695,20.0,0.0,220.0,-4.039832
43695,20.0,0.0,240.0,-4.147554
43695,20.0,0.0,260.0,-4.2048
43695,20.0,0.0,280.0,-4.2261376
43695,20.0,0.0,300.0,-3.9954083
43695,20.0,0.0,320.0,-4.0053415
43695,20.0,0.0,340.0,-3.780205
43695,20.0,20.0,0.0,-3.6564388
43695,20.0,20.0,20.0,-3.801967
43695,20.0,20.0,40.0,-3.5195081
43695,20.0,20.0,60.0,-3.440798
43695,20.0,20.0,80.0,-3.2799163
43695,20.0,20.0,100.0,-3.7003767
43695,20.0,20.0,120.0,-3.6581094
43695,20.0,20.0,140.0,-3.6083262
43695,20.0,20.0,160.0,-3.5125604
43695,20.0,20.0,180.0,-3.5770662
43695,20.0,20.0,200.0,-3.4200203
43695,20.0,20.0,220.0,-3.4752622
43695,20.0,20.0,240.0,-3.5605397
43695,20.0,20.0,260.0,-3.6707537
43695,20.0,20.0,280.0,-4.0178485
43695,20.0,20.0,300.0,-3.7153838
43695,20.0,20.0,320.0,-3.6390514
43695,20.0,20.0,340.0,-3.3835309
43695,20.0,40.0,0.0,-3.2080464
43695,20.0,40.0,20.0,-3.2322977
43695,20.0,40.0,40.0,-3.2097013
43695,20.0,40.0,60.0,-2.9476259
43695,20.0,40.0,80.0,-3.0301788
43695,20.0,40.0,100.0,-3.6125734
43695,20.0,40.0,120.0,-3.427427
43695,20.0,40.0,140.0,-3.4018636
43695,20.0,40.0,160.0,-3.2958984
43695,20.0,40.0,180.0,-3.210932
43695,20.0,40.0,200.0,-3.1022625
43695,20.0,40.0,220.0,-3.0168269
43695,20.0,40.0,240.0,-3.1622806
43695,20.0,40.0,260.0,-3.2799675
43695,20.0,40.0,280.0,-3.4179242
43695,20.0,40.0,300.0,-3.3206747
43695,20.0,40.0,320.0,-3.1592999
43695,20.0,40.0,340.0,-3.1740248
43695,20.0,60.0,0.0,-2.9777083
43695,20.0,60.0,20.0,-3.0760837
43695,20.0,60.0,40.0,-2.9037457
43695,20.0,60.0,60.0,-2.8702672
43695,20.0,60.0,80.0,-2.912935
43695,20.0,60.0,100.0,-3.3569372
43695,20.0,60.0,120.0,-3.3274808
43695,20.0,60.0,140.0,-3.1978567
43695,20.0,60.0,160.0,-3.0780432
43695,20.0,60.0,180.0,-2.9505787
43695,20.0,60.0,200.0,-2.8790135
43695,20.0,60.0,220.0,-2.9735968
43695,20.0,60.0,240.0,-2.9162946
43695,20.0,60.0,260.0,-2.9635983
43695,20.0,60.0,280.0,-3.0427804
43695,20.0,60.0,300.0,-3.020711
43695,20.0,60.0,320.0,-3.0336132
43695,20.0,60.0,340.0,-3.0872297
43695,20.0,80.0,0.0,-2.7310886
43695,20.0,80.0,20.0,-2.789922
43695,20.0,80.0,40.0,-2.6768713
43695,20.0,80.0,60.0,-2.6043563
43695,20.0,80.0,80.0,-2.6870437
43695,20.0,80.0,100.0,-3.0332174
43695,20.0,80.0,120.0,-3.1065
43695,20.0,80.0,140.0,-3.0076373
43695,20.0,80.0,160.0,-3.0318391
43695,20.0,80.0,180.0,-3.0855572
43695,20.0,80.0,200.0,-3.0610397
43695,20.0,80.0,220.0,-3.1187756
43695,20.0,80.0,240.0,-3.06242
43695,20.0,80.0,260.0,-2.9290538
43695,20.0,80.0,280.0,-2.873542
43695,20.0,80.0,300.0,-2.9196215
43695,20.0,80.0,320.0,-2.9787378
43695,20.0,80.0,340.0,-2.76199
43695,20.0,100.0,0.0,-2.7524214
43695,20.0,100.0,20.0,-2.833718
43695,20.0,100.0,40.0,-2.8163967
43695,20.0,100.0,60.0,-2.7516744
43695,20.0,100.0,80.0,-2.9131773
43695,20.0,100.0,100.0,-3.071698
43695,20.0,100.0,120.0,-2.9136078
43695,20.0,100.0,140.0,-3.0651927
43695,20.0,100.0,160.0,-3.0081801
43695,20.0,100.0,180.0,-3.0064297
43695,20.0,100.0,200.0,-3.292476
43695,20.0,100.0,220.0,-3.3886497
43695,20.0,100.0,240.0,-3.5185099
43695,20.0,100.0,260.0,-3.308044
43695,20.0,100.0,280.0,-3.2026687
43695,20.0,100.0,300.0,-3.186952
43695,20.0,100.0,320.0,-3.1683097
43695,20.0,100.0,340.0,-2.7261028
43695,20.0,120.0,0.0,-2.7618468
43695,20.0,120.0,20.0,-3.0231075
43695,20.0,120.0,40.0,-3.1206331
43695,20.0,120.0,60.0,-3.1950688
43695,20.0,120.0,80.0,-3.2662256
43695,20.0,120.0,100.0,-2.761503
43695,20.0,120.0,120.0,-2.9341476
43695,20.0,120.0,140.0,-3.2888167
