Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
43695,20.0,0.0,0.0,-3.4845045
43695,20.0,0.0,20.0,-4.1036367
43695,20.0,0.0,40.0,-4.2391562
43695,20.0,0.0,60.0,-4.354268
43695,20.0,0.0,80.0,-4.044242
43695,20.0,0.0,100.0,-2.9518352
43695,20.0,0.0,120.0,-3.7277308
43695,20.0,0.0,140.0,-3.6739635
43695,20.0,0.0,160.0,-3.8312523
43695,20.0,0.0,180.0,-4.25889
43695,20.0,0.0,200.0,-3.989298
43695,20.0,0.0,220.0,-3.6217823
43695,20.0,0.0,240.0,-3.837872
43695,20.0,0.0,260.0,-3.5266328
43695,20.0,0.0,280.0,-3.8526437
43695,20.0,0.0,300.0,-4.125815
43695,20.0,0.0,320.0,-3.7466316
43695,20.0,0.0,340.0,-3.78206
43695,20.0,20.0,0.0,-3.1598969
43695,20.0,20.0,20.0,-3.5946515
43695,20.0,20.0,40.0,-3.853573
43695,20.0,20.0,60.0,-3.859047
43695,20.0,20.0,80.0,-3.8555684
43695,20.0,20.0,100.0,-3.3232346
43695,20.0,20.0,120.0,-3.9476182
43695,20.0,20.0,140.0,-3.8586574
43695,20.0,20.0,160.0,-3.8416493
43695,20.0,20.0,180.0,-4.24402
43695,20.0,20.0,200.0,-4.1786776
43695,20.0,20.0,220.0,-3.9706757
43695,20.0,20.0,240.0,-4.082815
43695,20.0,20.0,260.0,-4.1278257
43695,20.0,20.0,280.0,-4.1178117
43695,20.0,20.0,300.0,-3.8006303
43695,20.0,20.0,320.0,-3.41008
43695,20.0,20.0,340.0,-3.3705394
43695,20.0,40.0,0.0,-3.1260672
43695,20.0,40.0,20.0,-3.331759
43695,20.0,40.0,40.0,-3.3508625
43695,20.0,40.0,60.0,-3.3877854
43695,20.0,40.0,80.0,-3.6089993
43695,20.0,40.0,100.0,-3.5475905
43695,20.0,40.0,120.0,-3.8014824
43695,20.0,40.0,140.0,-3.7214193
43695,20.0,40.0,160.0,-4.1240144
43695,20.0,40.0,180.0,-3.843489
43695,20.0,40.0,200.0,-3.571425
43695,20.0,40.0,220.0,-3.936444
43695,20.0,40.0,240.0,-3.910548
43695,20.0,40.0,260.0,-3.8338037
43695,20.0,40.0,280.0,-3.843458
43695,20.0,40.0,300.0,-3.8095024
43695,20.0,40.0,320.0,-3.237095
43695,20.0,40.0,340.0,-3.1256182
43695,20.0,60.0,0.0,-3.150372
43695,20.0,60.0,20.0,-3.2405214
43695,20.0,60.0,40.0,-3.23581
43695,20.0,60.0,60.0,-3.2598436
43695,20.0,60.0,80.0,-3.3200529
43695,20.0,60.0,100.0,-3.2350383
43695,20.0,60.0,120.0,-3.545913
43695,20.0,60.0,140.0,-3.4488401
43695,20.0,60.0,160.0,-3.7211304
43695,20.0,60.0,180.0,-3.5930984
43695,20.0,60.0,200.0,-3.2900252
43695,20.0,60.0,220.0,-3.6538742
43695,20.0,60.0,240.0,-3.6176178
43695,20.0,60.0,260.0,-3.642607
43695,20.0,60.0,280.0,-3.5605328
43695,20.0,60.0,300.0,-3.495759
43695,20.0,60.0,320.0,-3.0288818
43695,20.0,60.0,340.0,-2.9686558
43695,20.0,80.0,0.0,-3.1730943
43695,20.0,80.0,20.0,-3.1502202
43695,20.0,80.0,40.0,-3.0818746
43695,20.0,80.0,60.0,-3.1397111
43695,20.0,80.0,80.0,-3.3316028
43695,20.0,80.0,100.0,-3.1963184
43695,20.0,80.0,120.0,-3.500666
43695,20.0,80.0,140.0,-3.409087
43695,20.0,80.0,160.0,-3.8598285
43695,20.0,80.0,180.0,-3.5765216
43695,20.0,80.0,200.0,-3.2976093
43695,20.0,80.0,220.0,-3.5998423
43695,20.0,80.0,240.0,-3.4236429
43695,20.0,80.0,260.0,-3.63941
43695,20.0,80.0,280.0,-3.4131231
43695,20.0,80.0,300.0,-3.42619
43695,20.0,80.0,320.0,-3.101187
43695,20.0,80.0,340.0,-3.0161493
43695,20.0,100.0,0.0,-3.0527241
43695,20.0,100.0,20.0,-3.0391107
43695,20.0,100.0,40.0,-3.0148816
43695,20.0,100.0,60.0,-3.035973
43695,20.0,100.0,80.0,-3.105091
43695,20.0,100.0,100.0,-3.135528
43695,20.0,100.0,120.0,-3.422342
43695,20.0,100.0,140.0,-3.2491872
43695,20.0,100.0,160.0,-3.7183435
43695,20.0,100.0,180.0,-3.3595984
43695,20.0,100.0,200.0,-3.0210495
43695,20.0,100.0,220.0,-3.3512177
43695,20.0,100.0,240.0,-3.2035036
43695,20.0,100.0,260.0,-3.511658
43695,20.0,100.0,280.0,-2.9480429
43695,20.0,100.0,300.0,-3.3529496
43695,20.0,100.0,320.0,-3.1188877
43695,20.0,100.0,340.0,-3.0680234
43695,20.0,120.0,0.0,-3.3051233
43695,20.0,120.0,20.0,-3.1783361
43695,20.0,120.0,40.0,-3.0631492
43695,20.0,120.0,60.0,-3.1675982
43695,20.0,120.0,80.0,-2.9100802
43695,20.0,120.0,100.0,-3.365671
43695,20.0,120.0,120.0,-3.5922651
43695,20.0,120.0,140.0,-3.433578
43695,20.0,120.0,160.0,-3.5539625
43695,20.0,120.0,180.0,-3.4681575
43695,20.0,120.0,200.0,-3.249602
43695,20.0,120.0,220.0,-3.2947855
43695,20.0,120.0,240.0,-3.1105778
43695,20.0,120.0,260.0,-3.4826841
43695,20.0,120.0,280.0,-3.3323607
43695,20.0,120.0,300.0,-3.5606713
43695,20.0,120.0,320.0,-3.6920743
43695,20.0,120.0,340.0,-3.2559524
43695,20.0,140.0,0.0,-3.564511
43695,20.0,140.0,20.0,-3.4526432
43695,20.0,140.0,40.0,-3.393112
43695,20.0,140.0,60.0,-3.509438
43695,20.0,140.0,80.0,-3.0782912
43695,20.0,140.0,100.0,-3.8072128
43695,20.0,140.0,120.0,-3.7155437
43695,20.0,140.0,140.0,-3.8790085
43695,20.0,140.0,160.0,-3.822244
43695,20.0,140.0,180.0,-3.7679443
43695,20.0,140.0,200.0,-3.4972463
43695,20.0,140.0,220.0,-3.2861314
43695,20.0,140.0,240.0,-3.0631676
43695,20.0,140.0,260.0,-3.3323464
43695,20.0,140.0,280.0,-3.9849923
43695,20.0,140.0,300.0,-3.7423859
43695,20.0,140.0,320.0,-3.5403173
43695,20.0,140.0,340.0,-3.470071
43695,20.0,160.0,0.0,-3.8344934
43695,20.0,160.0,20.0,-3.8363369
43695,20.0,160.0,40.0,-3.9327943
43695,20.0,160.0,60.0,-3.6327274
43695,20.0,160.0,80.0,-3.082579
43695,20.0,160.0,100.0,-3.7512074
43695,20.0,160.0,120.0,-3.5872173
43695,20.0,160.0,140.0,-3.9463954
43695,20.0,160.0,160.0,-3.8230596
43695,20.0,160.0,180.0,-3.8328319
43695,20.0,160.0,200.0,-3.4922688
43695,20.0,160.0,220.0,-3.2724276
43695,20.0,160.0,240.0,-3.3779647
43695,20.0,160.0,260.0,-3.3618338
43695,20.0,160.0,280.0,-3.6689184
43695,20.0,160.0,300.0,-3.9969618
43695,20.0,160.0,320.0,-3.7415605
43695,20.0,160.0,340.0,-3.9001782
43695,20.0,180.0,0.0,-3.7673945
43695,20.0,180.0,20.0,-3.9191952
43695,20.0,180.0,40.0,-3.9256744
43695,20.0,180.0,60.0,-3.4713454
