Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
19204,20.0,0.0,0.0,-2.8306656
19204,20.0,0.0,20.0,-2.8619127
19204,20.0,0.0,40.0,-2.721417
19204,20.0,0.0,60.0,-2.9040813
19204,20.0,0.0,80.0,-2.855039
19204,20.0,0.0,100.0,-3.2885928
19204,20.0,0.0,120.0,-3.2267146
19204,20.0,0.0,140.0,-3.0426931
19204,20.0,0.0,160.0,-2.92698
19204,20.0,0.0,180.0,-2.4968061
19204,20.0,0.0,200.0,-2.5075269
19204,20.0,0.0,220.0,-2.2534134
19204,20.0,0.0,240.0,-2.122551
19204,20.0,0.0,260.0,-2.3368566
19204,20.0,0.0,280.0,-2.2635396
19204,20.0,0.0,300.0,-2.5978708
19204,20.0,0.0,320.0,-2.6340282
19204,20.0,0.0,340.0,-2.6707919
19204,20.0,20.0,0.0,-2.7478511
19204,20.0,20.0,20.0,-3.0923967
19204,20.0,20.0,40.0,-2.7160192
19204,20.0,20.0,60.0,-2.5973828
19204,20.0,20.0,80.0,-2.9281237
19204,20.0,20.0,100.0,-2.7732158
19204,20.0,20.0,120.0,-3.4235308
19204,20.0,20.0,140.0,-2.9139044
19204,20.0,20.0,160.0,-2.3149357
19204,20.0,20.0,180.0,-2.5580516
19204,20.0,20.0,200.0,-2.1153336
19204,20.0,20.0,220.0,-2.3856142
19204,20.0,20.0,240.0,-2.181105
19204,20.0,20.0,260.0,-3.1391137
19204,20.0,20.0,280.0,-2.5823011
19204,20.0,20.0,300.0,-2.785171
19204,20.0,20.0,320.0,-3.009016
19204,20.0,20.0,340.0,-2.9668229
19204,20.0,40.0,0.0,-2.4167671
19204,20.0,40.0,20.0,-2.714407
19204,20.0,40.0,40.0,-2.7665446
19204,20.0,40.0,60.0,-2.8086207
19204,20.0,40.0,80.0,-2.8961031
19204,20.0,40.0,100.0,-2.6462295
19204,20.0,40.0,120.0,-2.8246994
19204,20.0,40.0,140.0,-2.9767742
19204,20.0,40.0,160.0,-2.181259
19204,20.0,40.0,180.0,-2.3941154
19204,20.0,40.0,200.0,-2.2373397
19204,20.0,40.0,220.0,-2.072813
19204,20.0,40.0,240.0,-1.6172744
19204,20.0,40.0,260.0,-1.5920897
19204,20.0,40.0,280.0,-1.5911441
19204,20.0,40.0,300.0,-1.4916029
19204,20.0,40.0,320.0,-2.0049999
19204,20.0,40.0,340.0,-2.36703
19204,20.0,60.0,0.0,-2.1483293
19204,20.0,60.0,20.0,-2.0362718
19204,20.0,60.0,40.0,-2.0902805
19204,20.0,60.0,60.0,-2.2961588
19204,20.0,60.0,80.0,-2.642408
19204,20.0,60.0,100.0,-2.5790129
19204,20.0,60.0,120.0,-2.4111564
19204,20.0,60.0,140.0,-2.118936
19204,20.0,60.0,160.0,-2.4828563
19204,20.0,60.0,180.0,-2.2595558
19204,20.0,60.0,200.0,-1.9374437
19204,20.0,60.0,220.0,-2.2681692
19204,20.0,60.0,240.0,-2.4392471
19204,20.0,60.0,260.0,-2.2088625
19204,20.0,60.0,280.0,-2.0961068
19204,20.0,60.0,300.0,-1.9151753
19204,20.0,60.0,320.0,-1.9588768
19204,20.0,60.0,340.0,-2.2112947
19204,20.0,80.0,0.0,-1.9429464
19204,20.0,80.0,20.0,-1.8585263
19204,20.0,80.0,40.0,-2.1801884
19204,20.0,80.0,60.0,-2.2508504
19204,20.0,80.0,80.0,-2.340618
19204,20.0,80.0,100.0,-2.1814158
19204,20.0,80.0,120.0,-2.4338393
19204,20.0,80.0,140.0,-2.226655
19204,20.0,80.0,160.0,-2.029908
19204,20.0,80.0,180.0,-1.7376744
19204,20.0,80.0,200.0,-2.071018
19204,20.0,80.0,220.0,-1.770562
19204,20.0,80.0,240.0,-1.9313717
19204,20.0,80.0,260.0,-1.6059543
19204,20.0,80.0,280.0,-1.6057158
19204,20.0,80.0,300.0,-2.263048
19204,20.0,80.0,320.0,-2.11403
19204,20.0,80.0,340.0,-1.8167859
19204,20.0,100.0,0.0,-1.9723008
19204,20.0,100.0,20.0,-2.0751264
19204,20.0,100.0,40.0,-2.011869
19204,20.0,100.0,60.0,-2.4289732
19204,20.0,100.0,80.0,-2.6399224
19204,20.0,100.0,100.0,-2.0895948
19204,20.0,100.0,120.0,-2.0178971
19204,20.0,100.0,140.0,-1.5251
19204,20.0,100.0,160.0,-1.9306746
19204,20.0,100.0,180.0,-2.139259
19204,20.0,100.0,200.0,-1.9271293
19204,20.0,100.0,220.0,-1.8952572
