Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
43695,20.0,0.0,0.0,-4.0087543
43695,20.0,0.0,20.0,-3.7727087
43695,20.0,0.0,40.0,-3.7887459
43695,20.0,0.0,60.0,-3.4395647
43695,20.0,0.0,80.0,-3.665807
43695,20.0,0.0,100.0,-3.8525743
43695,20.0,0.0,120.0,-3.6132007
43695,20.0,0.0,140.0,-3.7652762
43695,20.0,0.0,160.0,-4.047872
43695,20.0,0.0,180.0,-4.001222
43695,20.0,0.0,200.0,-3.754404
43695,20.0,0.0,220.0,-3.810082
43695,20.0,0.0,240.0,-3.2389867
43695,20.0,0.0,260.0,-3.2987237
43695,20.0,0.0,280.0,-3.4072075
43695,20.0,0.0,300.0,-3.8677032
43695,20.0,0.0,320.0,-3.5442715
43695,20.0,0.0,340.0,-3.6297138
43695,20.0,20.0,0.0,-3.615093
43695,20.0,20.0,20.0,-3.6702676
43695,20.0,20.0,40.0,-3.7325766
43695,20.0,20.0,60.0,-3.6680048
43695,20.0,20.0,80.0,-4.0613737
43695,20.0,20.0,100.0,-4.5047207
43695,20.0,20.0,120.0,-3.9518063
43695,20.0,20.0,140.0,-4.076552
43695,20.0,20.0,160.0,-3.7990742
43695,20.0,20.0,180.0,-4.208105
43695,20.0,20.0,200.0,-3.9479582
43695,20.0,20.0,220.0,-3.7811213
43695,20.0,20.0,240.0,-3.199047
43695,20.0,20.0,260.0,-3.2058082
43695,20.0,20.0,280.0,-3.5077178
43695,20.0,20.0,300.0,-3.612034
43695,20.0,20.0,320.0,-3.3792605
43695,20.0,20.0,340.0,-3.3148189
43695,20.0,40.0,0.0,-3.298009
43695,20.0,40.0,20.0,-3.2557826
43695,20.0,40.0,40.0,-3.2974901
43695,20.0,40.0,60.0,-3.6815536
43695,20.0,40.0,80.0,-3.8825946
43695,20.0,40.0,100.0,-4.1985617
43695,20.0,40.0,120.0,-4.046254
43695,20.0,40.0,140.0,-3.702284
43695,20.0,40.0,160.0,-3.6028829
43695,20.0,40.0,180.0,-3.6651843
43695,20.0,40.0,200.0,-3.616311
43695,20.0,40.0,220.0,-3.6946304
43695,20.0,40.0,240.0,-3.2062604
43695,20.0,40.0,260.0,-3.2865012
43695,20.0,40.0,280.0,-2.9745123
43695,20.0,40.0,300.0,-3.4099045
43695,20.0,40.0,320.0,-3.3773694
43695,20.0,40.0,340.0,-3.1276846
43695,20.0,60.0,0.0,-3.2566793
43695,20.0,60.0,20.0,-3.077604
43695,20.0,60.0,40.0,-3.2101593
43695,20.0,60.0,60.0,-3.3210592
43695,20.0,60.0,80.0,-3.4790137
43695,20.0,60.0,100.0,-3.759759
43695,20.0,60.0,120.0,-3.5900972
43695,20.0,60.0,140.0,-3.5061607
