Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
19204,20.0,0.0,0.0,-2.5271802
19204,20.0,0.0,20.0,-2.3959584
19204,20.0,0.0,40.0,-2.4337044
19204,20.0,0.0,60.0,-2.6489158
19204,20.0,0.0,80.0,-2.789049
19204,20.0,0.0,100.0,-2.1648438
19204,20.0,0.0,120.0,-2.3569844
19204,20.0,0.0,140.0,-2.7812514
19204,20.0,0.0,160.0,-2.6098213
19204,20.0,0.0,180.0,-2.6144283
19204,20.0,0.0,200.0,-2.7609868
19204,20.0,0.0,220.0,-2.3839512
19204,20.0,0.0,240.0,-3.1683874
19204,20.0,0.0,260.0,-2.8769722
19204,20.0,0.0,280.0,-2.6675966
19204,20.0,0.0,300.0,-2.3767745
19204,20.0,0.0,320.0,-2.713282
19204,20.0,0.0,340.0,-2.436286
19204,20.0,20.0,0.0,-2.686237
19204,20.0,20.0,20.0,-2.7264435
19204,20.0,20.0,40.0,-2.500496
19204,20.0,20.0,60.0,-3.0475392
19204,20.0,20.0,80.0,-2.625913
19204,20.0,20.0,100.0,-2.6018784
19204,20.0,20.0,120.0,-2.4899342
19204,20.0,20.0,140.0,-2.4744308
19204,20.0,20.0,160.0,-2.760694
19204,20.0,20.0,180.0,-2.3489332
19204,20.0,20.0,200.0,-2.6495183
19204,20.0,20.0,220.0,-2.8265285
19204,20.0,20.0,240.0,-2.7128594
19204,20.0,20.0,260.0,-2.8114073
19204,20.0,20.0,280.0,-3.0293636
19204,20.0,20.0,300.0,-2.5611074
19204,20.0,20.0,320.0,-2.272538
19204,20.0,20.0,340.0,-2.406146
19204,20.0,40.0,0.0,-2.0162444
19204,20.0,40.0,20.0,-2.3843834
19204,20.0,40.0,40.0,-2.42043
19204,20.0,40.0,60.0,-2.1117587
19204,20.0,40.0,80.0,-2.4584122
19204,20.0,40.0,100.0,-2.53085
19204,20.0,40.0,120.0,-2.1838167
19204,20.0,40.0,140.0,-1.8939136
19204,20.0,40.0,160.0,-2.5678678
19204,20.0,40.0,180.0,-2.422841
19204,20.0,40.0,200.0,-2.217263
19204,20.0,40.0,220.0,-2.4633791
19204,20.0,40.0,240.0,-2.360775
19204,20.0,40.0,260.0,-2.4836652
19204,20.0,40.0,280.0,-2.6352766
19204,20.0,40.0,300.0,-2.2782705
19204,20.0,40.0,320.0,-2.3533332
19204,20.0,40.0,340.0,-2.249329
19204,20.0,60.0,0.0,-2.1702538
19204,20.0,60.0,20.0,-2.5119576
19204,20.0,60.0,40.0,-2.096222
19204,20.0,60.0,60.0,-2.0727458
19204,20.0,60.0,80.0,-2.017054
19204,20.0,60.0,100.0,-2.2341673
19204,20.0,60.0,120.0,-1.7848729
19204,20.0,60.0,140.0,-1.9721376
19204,20.0,60.0,160.0,-2.4492805
19204,20.0,60.0,180.0,-1.9644657
19204,20.0,60.0,200.0,-1.8860865
19204,20.0,60.0,220.0,-2.3288271
19204,20.0,60.0,240.0,-2.2520633
19204,20.0,60.0,260.0,-2.1641579
19204,20.0,60.0,280.0,-2.504168
19204,20.0,60.0,300.0,-1.734722
19204,20.0,60.0,320.0,-2.208157
19204,20.0,60.0,340.0,-2.3613994
19204,20.0,80.0,0.0,-1.9475775
19204,20.0,80.0,20.0,-2.4894605
19204,20.0,80.0,40.0,-2.123661
19204,20.0,80.0,60.0,-2.0269637
19204,20.0,80.0,80.0,-1.9400481
19204,20.0,80.0,100.0,-2.0620427
19204,20.0,80.0,120.0,-1.6412412
19204,20.0,80.0,140.0,-2.1363766
19204,20.0,80.0,160.0,-2.149212
19204,20.0,80.0,180.0,-2.2637367
19204,20.0,80.0,200.0,-2.2783465
19204,20.0,80.0,220.0,-2.0918183
19204,20.0,80.0,240.0,-2.715384
19204,20.0,80.0,260.0,-2.2611837
19204,20.0,80.0,280.0,-2.332931
19204,20.0,80.0,300.0,-2.137631
19204,20.0,80.0,320.0,-2.2185798
19204,20.0,80.0,340.0,-2.050028
19204,20.0,100.0,0.0,-2.591364
19204,20.0,100.0,20.0,-2.0271142
19204,20.0,100.0,40.0,-1.733209
19204,20.0,100.0,60.0,-1.7203375
19204,20.0,100.0,80.0,-2.140004
19204,20.0,100.0,100.0,-2.1138988
19204,20.0,100.0,120.0,-1.924341
19204,20.0,100.0,140.0,-2.0947723
19204,20.0,100.0,160.0,-2.2266698
19204,20.0,100.0,180.0,-2.020972
19204,20.0,100.0,200.0,-2.1752448
19204,20.0,100.0,220.0,-2.3534372
19204,20.0,100.0,240.0,-2.2427044
19204,20.0,100.0,260.0,-2.0819094
19204,20.0,100.0,280.0,-1.8571715
19204,20.0,100.0,300.0,-2.2038376
19204,20.0,100.0,320.0,-2.2746608
19204,20.0,100.0,340.0,-2.0610852
19204,20.0,120.0,0.0,-1.9879318
19204,20.0,120.0,20.0,-1.8201722
19204,20.0,120.0,40.0,-1.8885361
19204,20.0,120.0,60.0,-1.7464402
19204,20.0,120.0,80.0,-1.7602955
19204,20.0,120.0,100.0,-1.9459474
19204,20.0,120.0,120.0,-1.7918445
19204,20.0,120.0,140.0,-1.9375812
19204,20.0,120.0,160.0,-2.3429267
