Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
43695,20.0,0.0,0.0,-3.4512596
43695,20.0,0.0,20.0,-3.5626578
43695,20.0,0.0,40.0,-3.6228461
43695,20.0,0.0,60.0,-3.6226988
43695,20.0,0.0,80.0,-3.9979298
43695,20.0,0.0,100.0,-4.2885766
43695,20.0,0.0,120.0,-4.5808573
43695,20.0,0.0,140.0,-4.1236944
43695,20.0,0.0,160.0,-3.9006138
43695,20.0,0.0,180.0,-4.4072523
43695,20.0,0.0,200.0,-4.2111607
43695,20.0,0.0,220.0,-4.380507
43695,20.0,0.0,240.0,-4.127091
43695,20.0,0.0,260.0,-3.9355261
43695,20.0,0.0,280.0,-3.5229142
43695,20.0,0.0,300.0,-3.0676818
43695,20.0,0.0,320.0,-3.1089444
43695,20.0,0.0,340.0,-3.3759127
43695,20.0,20.0,0.0,-3.5221338
43695,20.0,20.0,20.0,-3.5608056
43695,20.0,20.0,40.0,-3.8878326
43695,20.0,20.0,60.0,-3.751684
43695,20.0,20.0,80.0,-4.012536
43695,20.0,20.0,100.0,-4.5854826
43695,20.0,20.0,120.0,-4.27551
43695,20.0,20.0,140.0,-3.820302
43695,20.0,20.0,160.0,-3.5186782
43695,20.0,20.0,180.0,-3.7711077
43695,20.0,20.0,200.0,-3.839906
43695,20.0,20.0,220.0,-4.1101265
43695,20.0,20.0,240.0,-3.8339214
43695,20.0,20.0,260.0,-4.0769653
43695,20.0,20.0,280.0,-3.9398773
43695,20.0,20.0,300.0,-3.1722155
43695,20.0,20.0,320.0,-3.3068404
43695,20.0,20.0,340.0,-3.1407185
43695,20.0,40.0,0.0,-3.7573934
43695,20.0,40.0,20.0,-3.6231909
43695,20.0,40.0,40.0,-3.6915948
43695,20.0,40.0,60.0,-3.6586554
43695,20.0,40.0,80.0,-3.8965526
43695,20.0,40.0,100.0,-3.9441702
43695,20.0,40.0,120.0,-3.8642821
43695,20.0,40.0,140.0,-4.015343
43695,20.0,40.0,160.0,-3.6356695
43695,20.0,40.0,180.0,-3.4930675
43695,20.0,40.0,200.0,-3.449155
43695,20.0,40.0,220.0,-3.5693102
43695,20.0,40.0,240.0,-3.567325
43695,20.0,40.0,260.0,-3.9062362
43695,20.0,40.0,280.0,-3.7309778
43695,20.0,40.0,300.0,-3.5417895
43695,20.0,40.0,320.0,-3.487405
43695,20.0,40.0,340.0,-3.12224
43695,20.0,60.0,0.0,-3.5225194
43695,20.0,60.0,20.0,-3.6421313
43695,20.0,60.0,40.0,-3.3349009
43695,20.0,60.0,60.0,-3.5555878
43695,20.0,60.0,80.0,-3.8288093
43695,20.0,60.0,100.0,-3.6785257
43695,20.0,60.0,120.0,-3.6271646
43695,20.0,60.0,140.0,-3.6820724
43695,20.0,60.0,160.0,-3.4748988
43695,20.0,60.0,180.0,-3.2619915
43695,20.0,60.0,200.0,-3.3773003
43695,20.0,60.0,220.0,-3.3972933
43695,20.0,60.0,240.0,-3.407354
43695,20.0,60.0,260.0,-3.6199062
43695,20.0,60.0,280.0,-3.516364
43695,20.0,60.0,300.0,-3.4942744
43695,20.0,60.0,320.0,-3.4945867
43695,20.0,60.0,340.0,-3.070714
43695,20.0,80.0,0.0,-3.3511198
43695,20.0,80.0,20.0,-3.498312
43695,20.0,80.0,40.0,-3.3005738
43695,20.0,80.0,60.0,-3.4503582
43695,20.0,80.0,80.0,-3.7863224
43695,20.0,80.0,100.0,-3.9505587
43695,20.0,80.0,120.0,-3.687495
43695,20.0,80.0,140.0,-3.5271792
43695,20.0,80.0,160.0,-3.1971776
43695,20.0,80.0,180.0,-3.038888
43695,20.0,80.0,200.0,-3.022763
43695,20.0,80.0,220.0,-3.0904062
43695,20.0,80.0,240.0,-3.140299
43695,20.0,80.0,260.0,-3.242694
43695,20.0,80.0,280.0,-3.346976
43695,20.0,80.0,300.0,-3.4981241
43695,20.0,80.0,320.0,-2.9967206
43695,20.0,80.0,340.0,-3.0178416
43695,20.0,100.0,0.0,-3.3680053
43695,20.0,100.0,20.0,-3.4394395
43695,20.0,100.0,40.0,-3.2660103
43695,20.0,100.0,60.0,-3.3009474
43695,20.0,100.0,80.0,-3.643722
43695,20.0,100.0,100.0,-3.9891944
43695,20.0,100.0,120.0,-3.8203642
43695,20.0,100.0,140.0,-3.4870865
43695,20.0,100.0,160.0,-3.0575564
43695,20.0,100.0,180.0,-2.9345112
43695,20.0,100.0,200.0,-2.9575295
43695,20.0,100.0,220.0,-2.929135
43695,20.0,100.0,240.0,-2.927595
43695,20.0,100.0,260.0,-3.0786483
43695,20.0,100.0,280.0,-3.2169154
43695,20.0,100.0,300.0,-3.5112035
43695,20.0,100.0,320.0,-3.1997724
43695,20.0,100.0,340.0,-3.2697237
43695,20.0,120.0,0.0,-3.4164507
43695,20.0,120.0,20.0,-3.3984976
43695,20.0,120.0,40.0,-3.1882694
43695,20.0,120.0,60.0,-3.3482232
43695,20.0,120.0,80.0,-3.7082336
43695,20.0,120.0,100.0,-4.0038395
43695,20.0,120.0,120.0,-3.6274986
43695,20.0,120.0,140.0,-3.5474253
43695,20.0,120.0,160.0,-3.3993008
43695,20.0,120.0,180.0,-3.2357395
43695,20.0,120.0,200.0,-3.3387687
43695,20.0,120.0,220.0,-3.2753103
43695,20.0,120.0,240.0,-3.2259796
43695,20.0,120.0,260.0,-3.0806994
43695,20.0,120.0,280.0,-3.1732006
43695,20.0,120.0,300.0,-3.512471
43695,20.0,120.0,320.0,-3.4041586
43695,20.0,120.0,340.0,-3.4015148
43695,20.0,140.0,0.0,-3.4769022
43695,20.0,140.0,20.0,-3.4953089
43695,20.0,140.0,40.0,-3.2443514
43695,20.0,140.0,60.0,-3.5078597
43695,20.0,140.0,80.0,-3.9719398
43695,20.0,140.0,100.0,-3.9909265
43695,20.0,140.0,120.0,-3.6514645
43695,20.0,140.0,140.0,-3.6971583
43695,20.0,140.0,160.0,-3.9411542
43695,20.0,140.0,180.0,-3.459611
43695,20.0,140.0,200.0,-3.562981
43695,20.0,140.0,220.0,-3.414326
43695,20.0,140.0,240.0,-3.220647
43695,20.0,140.0,260.0,-3.3208165
43695,20.0,140.0,280.0,-3.2806678
43695,20.0,140.0,300.0,-3.2606246
43695,20.0,140.0,320.0,-3.3328545
43695,20.0,140.0,340.0,-3.6942983
43695,20.0,160.0,0.0,-3.508253
43695,20.0,160.0,20.0,-3.587324
43695,20.0,160.0,40.0,-3.4704716
43695,20.0,160.0,60.0,-3.7029977
43695,20.0,160.0,80.0,-3.9734142
43695,20.0,160.0,100.0,-4.2135673
43695,20.0,160.0,120.0,-3.9748447
43695,20.0,160.0,140.0,-3.7351494
43695,20.0,160.0,160.0,-3.9643903
43695,20.0,160.0,180.0,-3.960143
43695,20.0,160.0,200.0,-3.917276
43695,20.0,160.0,220.0,-3.7559347
43695,20.0,160.0,240.0,-3.4629238
43695,20.0,160.0,260.0,-3.431878
43695,20.0,160.0,280.0,-3.6296296
43695,20.0,160.0,300.0,-3.2585866
43695,20.0,160.0,320.0,-3.2904656
43695,20.0,160.0,340.0,-3.545594
43695,20.0,180.0,0.0,-3.3387692
43695,20.0,180.0,20.0,-3.7425244
43695,20.0,180.0,40.0,-3.807144
43695,20.0,180.0,60.0,-3.9616919
43695,20.0,180.0,80.0,-4.0039444
43695,20.0,180.0,100.0,-3.9503133
43695,20.0,180.0,120.0,-4.1068187
43695,20.0,180.0,140.0,-3.7853198
43695,20.0,180.0,160.0,-3.743345
43695,20.0,180.0,180.0,-3.7741547
43695,20.0,180.0,200.0,-3.84239
43695,20.0,180.0,220.0,-3.8209276
43695,20.0,180.0,240.0,-3.647287
43695,20.0,180.0,260.0,-3.809978
43695,20.0,180.0,280.0,-3.683692
43695,20.0,180.0,300.0,-3.5744956
43695,20.0,180.0,320.0,-3.13656
43695,20.0,180.0,340.0,-3.5149844
43695,20.0,200.0,0.0,-3.1570714
43695,20.0,200.0,20.0,-3.7357485
43695,20.0,200.0,40.0,-3.8811743
43695,20.0,200.0,60.0,-3.5515518
43695,20.0,200.0,80.0,-3.5213368
43695,20.0,200.0,100.0,-3.5872195
43695,20.0,200.0,120.0,-3.88195
43695,20.0,200.0,140.0,-3.680859
43695,20.0,200.0,160.0,-3.7041767
43695,20.0,200.0,180.0,-3.5438967
43695,20.0,200.0,200.0,-3.483313
43695,20.0,200.0,220.0,-3.3125136
43695,20.0,200.0,240.0,-3.1408346
43695,20.0,200.0,260.0,-3.4692082
43695,20.0,200.0,280.0,-3.4289048
43695,20.0,200.0,300.0,-3.1900933
43695,20.0,200.0,320.0,-2.8966007
43695,20.0,200.0,340.0,-3.4415224
43695,20.0,220.0,0.0,-3.2697446
43695,20.0,220.0,20.0,-3.2079604
43695,20.0,220.0,40.0,-3.5280015
43695,20.0,220.0,60.0,-3.3694787
43695,20.0,220.0,80.0,-3.3667731
43695,20.0,220.0,100.0,-3.5230014
43695,20.0,220.0,120.0,-3.4642277
43695,20.0,220.0,140.0,-3.4447827
43695,20.0,220.0,160.0,-3.5048923
43695,20.0,220.0,180.0,-3.2337563
43695,20.0,220.0,200.0,-3.1004524
43695,20.0,220.0,220.0,-2.856145
43695,20.0,220.0,240.0,-2.828771
43695,20.0,220.0,260.0,-3.041345
43695,20.0,220.0,280.0,-3.2343223
43695,20.0,220.0,300.0,-3.1138217
43695,20.0,220.0,320.0,-2.7681003
43695,20.0,220.0,340.0,-3.1191275
43695,20.0,240.0,0.0,-2.9829562
43695,20.0,240.0,20.0,-3.1129234
43695,20.0,240.0,40.0,-3.209972
43695,20.0,240.0,60.0,-3.135344
43695,20.0,240.0,80.0,-3.0991058
43695,20.0,240.0,100.0,-3.5109973
43695,20.0,240.0,120.0,-3.4909632
43695,20.0,240.0,140.0,-3.3329015
43695,20.0,240.0,160.0,-3.403465
43695,20.0,240.0,180.0,-3.2692604
43695,20.0,240.0,200.0,-3.1104014
43695,20.0,240.0,220.0,-2.9520702
43695,20.0,240.0,240.0,-2.6302686
43695,20.0,240.0,260.0,-2.7777336
43695,20.0,240.0,280.0,-3.0930004
