Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
19204,20.0,0.0,0.0,-2.8721626
19204,20.0,0.0,20.0,-2.8917553
19204,20.0,0.0,40.0,-3.0248783
19204,20.0,0.0,60.0,-3.2231667
19204,20.0,0.0,80.0,-3.569778
19204,20.0,0.0,100.0,-3.260385
19204,20.0,0.0,120.0,-3.6229355
19204,20.0,0.0,140.0,-3.3732705
19204,20.0,0.0,160.0,-3.261938
19204,20.0,0.0,180.0,-2.852733
19204,20.0,0.0,200.0,-2.715869
19204,20.0,0.0,220.0,-2.640595
19204,20.0,0.0,240.0,-2.5999775
19204,20.0,0.0,260.0,-2.7076585
19204,20.0,0.0,280.0,-3.0284054
19204,20.0,0.0,300.0,-2.7425566
19204,20.0,0.0,320.0,-2.7350428
19204,20.0,0.0,340.0,-2.7892194
19204,20.0,20.0,0.0,-3.0818229
19204,20.0,20.0,20.0,-2.9654188
19204,20.0,20.0,40.0,-2.8461115
19204,20.0,20.0,60.0,-2.7980957
19204,20.0,20.0,80.0,-3.1368492
19204,20.0,20.0,100.0,-3.3808086
19204,20.0,20.0,120.0,-3.5873516
19204,20.0,20.0,140.0,-3.7813137
19204,20.0,20.0,160.0,-3.1745532
19204,20.0,20.0,180.0,-3.1834002
19204,20.0,20.0,200.0,-2.9137843
19204,20.0,20.0,220.0,-2.845043
19204,20.0,20.0,240.0,-2.9970527
19204,20.0,20.0,260.0,-2.8787656
19204,20.0,20.0,280.0,-2.6795988
19204,20.0,20.0,300.0,-2.875326
19204,20.0,20.0,320.0,-2.7486033
19204,20.0,20.0,340.0,-2.8933907
19204,20.0,40.0,0.0,-2.5827446
19204,20.0,40.0,20.0,-2.6746511
19204,20.0,40.0,40.0,-2.6325924
19204,20.0,40.0,60.0,-2.7516468
19204,20.0,40.0,80.0,-2.713803
19204,20.0,40.0,100.0,-3.0150294
19204,20.0,40.0,120.0,-3.021135
19204,20.0,40.0,140.0,-2.7145376
19204,20.0,40.0,160.0,-2.4398108
19204,20.0,40.0,180.0,-2.547216
19204,20.0,40.0,200.0,-2.3359659
19204,20.0,40.0,220.0,-2.576119
19204,20.0,40.0,240.0,-2.4350252
19204,20.0,40.0,260.0,-2.5255756
19204,20.0,40.0,280.0,-2.5415745
19204,20.0,40.0,300.0,-2.7124348
19204,20.0,40.0,320.0,-2.6302388
19204,20.0,40.0,340.0,-2.657673
19204,20.0,60.0,0.0,-2.084988
19204,20.0,60.0,20.0,-2.4239247
19204,20.0,60.0,40.0,-2.8725052
19204,20.0,60.0,60.0,-2.8454573
19204,20.0,60.0,80.0,-2.5326726
19204,20.0,60.0,100.0,-2.5653725
19204,20.0,60.0,120.0,-2.7839384
19204,20.0,60.0,140.0,-2.9711792
19204,20.0,60.0,160.0,-2.6837425
19204,20.0,60.0,180.0,-2.343734
19204,20.0,60.0,200.0,-2.6287596
19204,20.0,60.0,220.0,-2.6028829
19204,20.0,60.0,240.0,-2.359748
19204,20.0,60.0,260.0,-2.402618
19204,20.0,60.0,280.0,-2.0850687
19204,20.0,60.0,300.0,-2.0079618
19204,20.0,60.0,320.0,-2.6760437
19204,20.0,60.0,340.0,-2.2008355
19204,20.0,80.0,0.0,-2.0328984
19204,20.0,80.0,20.0,-2.5535789
19204,20.0,80.0,40.0,-2.8184261
19204,20.0,80.0,60.0,-2.650514
19204,20.0,80.0,80.0,-2.6252537
19204,20.0,80.0,100.0,-2.4287264
19204,20.0,80.0,120.0,-2.4571311
19204,20.0,80.0,140.0,-2.495731
19204,20.0,80.0,160.0,-2.8600276
19204,20.0,80.0,180.0,-2.649355
19204,20.0,80.0,200.0,-2.4734535
19204,20.0,80.0,220.0,-2.273912
19204,20.0,80.0,240.0,-2.131302
19204,20.0,80.0,260.0,-2.2060509
19204,20.0,80.0,280.0,-2.0056443
19204,20.0,80.0,300.0,-2.074313
19204,20.0,80.0,320.0,-2.2753797
19204,20.0,80.0,340.0,-2.343396
19204,20.0,100.0,0.0,-2.3473473
19204,20.0,100.0,20.0,-2.2418916
19204,20.0,100.0,40.0,-2.5395014
19204,20.0,100.0,60.0,-2.5137324
19204,20.0,100.0,80.0,-2.5213273
19204,20.0,100.0,100.0,-2.8421745
19204,20.0,100.0,120.0,-2.4002295
19204,20.0,100.0,140.0,-2.3204448
19204,20.0,100.0,160.0,-2.5101395
19204,20.0,100.0,180.0,-2.663376
19204,20.0,100.0,200.0,-2.7107058
19204,20.0,100.0,220.0,-2.6101606
19204,20.0,100.0,240.0,-2.4638762
