Event ID,Distance Rup (km),Source Rotation Azimuth (degrees),Site-To-Source Path Azimuth (degrees),ln(3.0s RotD50)
34365,20.0,0.0,0.0,-3.0848706
34365,20.0,0.0,20.0,-3.0896738
34365,20.0,0.0,40.0,-2.9668624
34365,20.0,0.0,60.0,-3.2144802
34365,20.0,0.0,80.0,-3.150033
34365,20.0,0.0,100.0,-3.5451488
34365,20.0,0.0,120.0,-3.2679703
34365,20.0,0.0,140.0,-2.9986606
34365,20.0,0.0,160.0,-2.9654496
34365,20.0,0.0,180.0,-2.9785073
34365,20.0,0.0,200.0,-2.7736278
34365,20.0,0.0,220.0,-3.0582535
34365,20.0,0.0,240.0,-2.7468321
34365,20.0,0.0,260.0,-2.6348937
34365,20.0,0.0,280.0,-2.577504
34365,20.0,0.0,300.0,-3.1828854
34365,20.0,0.0,320.0,-3.351267
34365,20.0,0.0,340.0,-3.4344053
34365,20.0,20.0,0.0,-3.2983165
34365,20.0,20.0,20.0,-3.1958957
34365,20.0,20.0,40.0,-3.1333938
34365,20.0,20.0,60.0,-3.0074797
34365,20.0,20.0,80.0,-3.5232012
34365,20.0,20.0,100.0,-3.806328
34365,20.0,20.0,120.0,-3.4290295
34365,20.0,20.0,140.0,-3.4235563
34365,20.0,20.0,160.0,-3.249496
34365,20.0,20.0,180.0,-3.4031172
34365,20.0,20.0,200.0,-2.9555202
34365,20.0,20.0,220.0,-3.152234
34365,20.0,20.0,240.0,-2.7855682
34365,20.0,20.0,260.0,-2.7382855
34365,20.0,20.0,280.0,-2.730238
34365,20.0,20.0,300.0,-3.4059463
34365,20.0,20.0,320.0,-3.7358778
34365,20.0,20.0,340.0,-3.6029065
34365,20.0,40.0,0.0,-3.840592
34365,20.0,40.0,20.0,-3.554088
34365,20.0,40.0,40.0,-3.480395
34365,20.0,40.0,60.0,-3.090927
34365,20.0,40.0,80.0,-3.4805918
34365,20.0,40.0,100.0,-3.6869051
34365,20.0,40.0,120.0,-3.584445
34365,20.0,40.0,140.0,-3.7092052
34365,20.0,40.0,160.0,-3.2062345
34365,20.0,40.0,180.0,-3.4718251
34365,20.0,40.0,200.0,-3.3325243
34365,20.0,40.0,220.0,-3.3396788
34365,20.0,40.0,240.0,-3.1777465
34365,20.0,40.0,260.0,-2.8019388
34365,20.0,40.0,280.0,-2.969853
34365,20.0,40.0,300.0,-3.337941
34365,20.0,40.0,320.0,-3.7681525
34365,20.0,40.0,340.0,-3.8657885
34365,20.0,60.0,0.0,-3.7913268
34365,20.0,60.0,20.0,-3.424943
34365,20.0,60.0,40.0,-3.3123538
34365,20.0,60.0,60.0,-3.3495054
34365,20.0,60.0,80.0,-3.7137737
34365,20.0,60.0,100.0,-3.132032
34365,20.0,60.0,120.0,-3.4739325
34365,20.0,60.0,140.0,-2.9676342
34365,20.0,60.0,160.0,-2.9750466
34365,20.0,60.0,180.0,-2.81399
34365,20.0,60.0,200.0,-3.1396315
34365,20.0,60.0,220.0,-3.1310859
34365,20.0,60.0,240.0,-2.8440206
34365,20.0,60.0,260.0,-2.621716
34365,20.0,60.0,280.0,-3.1155066
34365,20.0,60.0,300.0,-3.6372213
34365,20.0,60.0,320.0,-3.288376
34365,20.0,60.0,340.0,-3.1432736
34365,20.0,80.0,0.0,-3.3132052
34365,20.0,80.0,20.0,-3.394841
34365,20.0,80.0,40.0,-3.2208052
34365,20.0,80.0,60.0,-3.4560483
34365,20.0,80.0,80.0,-3.7506914
34365,20.0,80.0,100.0,-3.2997983
34365,20.0,80.0,120.0,-2.8883717
34365,20.0,80.0,140.0,-2.7729936
34365,20.0,80.0,160.0,-3.1237135
34365,20.0,80.0,180.0,-2.9151728
34365,20.0,80.0,200.0,-2.9744792
34365,20.0,80.0,220.0,-2.8555114
34365,20.0,80.0,240.0,-3.0370333
