Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
5.35,76.0,0.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
5.45,76.0,0.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
5.55,76.0,0.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
5.65,110.0,48.08326112068523,76.0,76.0,76.0,110.0,144.0,144.0,144.0
5.75,98.33333333333333,39.55165398985652,75.0,75.0,75.0,76.0,144.0,144.0,144.0
5.85,113.75,44.64956140135459,75.0,75.0,75.0,110.0,160.0,160.0,160.0
5.95,160.375,59.7038823815384,75.0,75.0,75.44,170.0,223.67999999999998,236.0,236.0
6.05,155.03030303030303,66.30398029553207,75.0,75.0,116.0,116.0,251.67999999999995,312.0,312.0
6.15,224.97674418604652,92.58907895388225,75.0,81.9,148.0,180.0,351.36,415.99999999999994,420.0
6.25,299.01492537313436,104.01667881079302,75.0,123.30000000000001,188.0,315.0,420.0,487.19999999999976,546.0
6.35,382.1075268817205,128.1770567516389,144.0,167.0,236.0,380.0,525.0,660.3999999999995,735.0
6.45,460.12727272727284,168.0176983409679,180.0,207.1,296.0,420.0,660.72,868.1249999999998,925.0
6.55,376.6563795485951,61.75873847810471,204.0,300.0,361.0,361.0,380.0,520.0,1107.0
6.65,481.04498269896163,89.51823719550507,204.0,356.8,460.0,473.0,484.0,680.0,1316.0
6.75,589.660429279032,113.30126667037217,225.0,405.0,576.0,585.0,595.0,926.6499999999999,1475.0
6.85,733.4512123004146,145.00069929440588,299.0,465.0,662.1600000000001,736.0,748.0,1183.5000000000007,1785.0
6.95,915.5758389261737,192.44397880066154,352.0,525.0,800.0,931.0,943.0,1470.0,2175.0
7.05,1140.8673946957895,248.5989114616877,435.0,615.0,940.0,1175.0,1180.0,1859.0999999999995,2538.0
7.15,1431.7771260997085,309.8385811430299,570.0,750.0,1173.0,1476.0,1488.0,2346.199999999999,3186.0
7.25,1810.9156939040201,385.4635555062379,690.0,900.0,1676.1599999999999,1860.0,1872.0,2918.199999999998,3650.0
7.35,2226.9323671497614,536.2036131669215,975.0,1080.0,1498.08,2349.0,2352.0,3632.399999999998,4563.0
7.45,2808.651898734177,689.6317452876109,975.0,1341.375,1988.0,2952.0,2960.0,4887.0,5373.0
7.55,3567.478142076505,901.1350579528091,1155.0,1826.525,2601.3599999999997,3720.0,3725.0,6044.799999999999,7650.0
7.65,4598.830258302584,1116.1472493323429,1840.0,2375.8,3661.44,4680.0,4683.0,7857.799999999999,8968.0
7.75,5658.723618090453,1416.5787883599266,2380.0,2900.0,4200.0,5880.0,5900.0,9878.0,11508.0
7.85,6915.817460317461,1452.4128195567168,3618.0,3829.875,5086.0,7416.0,7420.0,10147.275,11508.0
7.95,7958.649350649352,1871.2091416362302,4250.0,4664.2,5175.84,9336.0,9336.0,11276.199999999999,11508.0
8.05,8765.348837209302,2384.2262484895828,4887.0,4935.6,6056.36,8580.0,11760.0,11760.0,11760.0
8.15,8543.434782608696,1779.9344683056315,6025.0,6025.0,6987.12,7917.0,10341.68,13152.0,13152.0
8.25,9383.0,1195.3500818512616,7843.0,7843.0,7970.04,8904.5,11176.16,11508.0,11508.0
8.35,10575.0,752.4220889899499,9878.0,9878.0,9878.0,10166.0,11508.0,11508.0,11508.0
8.45,11386.0,172.5340546095176,11264.0,11264.0,11264.0,11386.0,11508.0,11508.0,11508.0
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
