Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
5.65,76.0,0.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
5.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.95,144.0,0.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
6.05,113.95,9.167878707749137,75.0,75.0,116.0,116.0,116.0,116.0,116.0
6.15,150.2,7.50859157022281,148.0,148.0,148.0,148.0,148.0,180.0,180.0
6.25,193.8,13.20127585540604,188.0,188.0,188.0,188.0,206.56,236.0,236.0
6.35,249.31578947368422,23.185370463047864,236.0,236.0,236.0,236.0,268.8,312.0,312.0
6.45,318.61538461538464,43.55876667039774,225.0,225.0,296.0,317.5,366.72,420.0,420.0
6.55,368.59038461538455,20.32997402870559,209.0,300.0,361.0,361.0,380.0,400.0,546.0
6.65,470.47764334560753,27.719538044322096,242.0,360.0,460.0,473.0,484.0,500.0,765.0
6.75,577.1184919210057,39.54777705282735,390.0,420.0,576.0,585.0,595.0,600.0,858.0
6.85,719.6777996070723,57.71825338820672,459.0,510.0,729.0,736.0,744.0,754.0,1107.0
6.95,905.097727272727,90.25103727646717,525.0,570.0,924.0,931.0,940.0,961.0,1260.0
7.05,1130.76523297491,122.5899961940268,615.0,675.0,1156.0,1175.0,1180.0,1189.0,1475.0
7.15,1432.1963048498847,150.4104005296382,750.0,883.725,1470.0,1476.0,1485.0,1488.0,1909.0
7.25,1829.2484076433125,163.55387861368976,870.0,1140.0,1850.0,1860.0,1872.0,1876.0,2250.0
7.35,2262.504081632653,285.3565576852598,1275.0,1320.0,2340.0,2349.0,2352.0,2373.35,2725.0
7.45,2870.9525139664806,325.2833205608903,1600.0,1639.0,2940.0,2952.0,2960.0,2964.6999999999994,3402.0
7.55,3646.057034220533,343.64578861436956,1960.0,1960.0,3712.0,3720.0,3724.76,3726.0,4160.0
7.65,4653.806282722513,153.95952702031727,3618.0,4186.2,4675.0,4680.0,4680.0,4683.6,5145.0
7.75,5829.285714285715,211.062484336683,4887.0,4959.5,5880.0,5880.0,5880.0,5900.0,6233.0
7.85,7344.243902439024,266.5891813803167,6025.0,6273.275,7416.0,7416.0,7420.0,7425.0,7650.0
7.95,9165.309523809523,412.3192871322312,7790.0,7793.975,8839.92,9336.0,9336.0,9340.0,9340.0
8.05,11414.866666666667,716.609364265065,9878.0,9878.0,10118.92,11760.0,11760.0,11760.0,11760.0
8.15,11974.666666666666,1026.8735722246108,11264.0,11264.0,11264.0,11508.0,13152.0,13152.0,13152.0
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
