Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.55,132.35788791157293,18.26435308143614,75.72226268169123,102.48177565184719,113.85843686765878,130.98798808598056,150.28865022732185,171.8813018901218,245.44914842620437
6.65,176.41091836243203,24.649434810218736,89.18981276708372,134.58096315440355,152.44075333408188,174.3905042326438,201.09821759677698,228.74755074018864,328.53942823244824
6.75,232.38403775502016,32.735700833176914,122.18968099375215,176.15166095950605,200.30457695068813,230.27875825586477,264.58314331897964,301.99483814584516,406.8731203388743
6.85,301.46542364997805,42.68702988830417,175.97332539260148,228.01170033821313,260.4946359945141,298.91404177119557,342.5430961616041,386.93652119376713,698.5185818850465
6.95,390.37326729416026,54.64078831535348,223.43531246700815,294.3388386033844,336.92623871211356,386.93636344124104,444.91460982602496,506.54424646303767,623.9851318463292
7.05,505.81373256579184,69.02488134990591,286.7162476619553,381.0103628882615,440.5527332094825,503.31835066609705,569.153989623985,662.5570640877107,841.4571806529455
7.15,642.6658639216906,95.31330538482422,405.70550188173246,494.3352268807134,545.8573908629822,634.2626828203914,739.0278091230851,850.8119843176459,1032.7107860203967
7.25,847.5245781518136,109.64964738366714,461.51845330747636,663.1120092942223,742.8868879984662,837.0943551543387,954.5120660800638,1089.5920768683818,1315.1516979854998
7.35,1097.6740306042643,148.35593594275443,704.2799981623446,859.7113102425272,947.0638540672271,1088.7458904259993,1244.6755751541195,1423.2056087630588,1718.745459436251
7.45,1474.4846242987771,205.18351503039804,906.7134742490721,1076.632247091902,1267.7682196137705,1472.377049140322,1667.599390566039,1899.4722550273946,2352.7484834177512
7.55,1997.3685940989799,245.57433769871815,1260.0601045308138,1560.432507796714,1750.424228636849,1989.7115982321775,2248.0458723204483,2485.768444036067,2945.1160745768543
7.65,2768.9222423377364,337.029625381901,1671.5308617800897,2161.953627077778,2432.631320127009,2747.353554885005,3142.0438058357627,3432.505128254636,3884.3188269211446
7.75,3829.611715860115,455.2506182397732,2316.076034879036,2945.2749390568456,3403.5054808614104,3804.5042916232187,4314.402966229494,4765.584809670393,5138.140182766148
7.85,5081.638849296789,552.2877514382748,3250.4352185321477,3920.169594848536,4677.187578191339,5014.881223605174,5570.706307590488,6336.170247393094,6795.761860509322
7.95,6025.999323162953,952.2650686998095,4468.423057205241,4468.423057205241,4873.8965962725,5845.696917778612,7076.111484922572,7662.278958938405,7662.278958938405
8.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
