Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.55,180.3931425978044,26.981004755075286,99.58629997285311,137.5752118181966,154.07213597620208,177.1794319184305,206.99541880846456,241.02547793451515,336.24697627011744
6.65,235.1309741025806,34.39130185116134,133.28062286005087,177.16924346357786,201.20488717610525,232.33498283145525,270.31619856305696,309.65442660822475,384.4585241838698
6.75,303.60829581673806,45.1177171267505,172.45055038547528,226.44658184998246,258.60472400590226,299.75435031442686,348.5552010122173,400.2287900467426,556.8356278106194
6.85,388.4546885010149,56.00580393821641,205.5154243814496,299.2462879000665,333.06242951509716,382.2838641809125,444.0289180782965,511.6930924472467,632.7823723621834
6.95,485.7613872072997,75.81424294143875,278.8331653512325,365.7171880864911,412.74529599343134,475.61322980417606,558.417401429601,665.1771421468675,909.3605609321135
7.05,615.9481840109347,92.54081235165596,367.9143266455056,450.724969121971,526.5031622897766,610.5998721199458,702.2395382031939,820.6432689452296,1091.8884991735945
7.15,764.8401728787265,118.48707695394738,504.2349497738426,584.3144094488905,654.2305596283258,737.434806779758,887.2999003278053,1044.2034309052196,1290.744307018197
7.25,995.5525030155276,141.22998367120397,570.3340936494639,742.6326554195314,865.4013041325604,979.4493987006625,1133.6015024202459,1312.4350813437757,1651.3556481879998
7.35,1262.7100850520455,188.20319212717447,857.1055809970252,974.301061810421,1080.3577691874657,1235.304173481079,1449.1243399014875,1693.1806209796723,2157.7049227708453
7.45,1653.2570943019387,261.5106009725472,1017.5954795910908,1197.5448790909193,1397.370002648082,1613.9487616927472,1914.6728317971936,2226.7103295388983,2816.1249473007433
7.55,2210.1359095050307,314.2628638941448,1478.87260431897,1667.8994701712293,1951.6327088865735,2156.0865110379473,2487.994027312294,2952.834684042876,3550.8023247013434
7.65,2883.838045791785,448.3795959116563,1780.750958779508,2163.4505899427672,2431.6800573010237,2821.2573946152356,3351.585973660909,3915.3915883263885,4430.822693154091
7.75,3976.9442933525856,574.740549441337,2667.193596823391,2960.217076213261,3392.802923604427,3967.5471792451035,4533.1323011200475,5190.55586523646,5865.955337609029
7.85,5938.924646809468,762.1595454525542,3186.1894442903936,4299.009677279237,5108.93001102913,6074.222334660793,6693.40423646491,7187.434819752102,7864.502268753982
7.95,7073.511207964895,612.0177993961829,5071.328183679847,5706.288574705042,6587.631795031279,7030.880123481462,7603.149213838748,8456.021350204925,8941.106819952574
8.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
