Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
1640,7.2515006,53.578136,51.25677,3.7102993E-6,-4.244159,-3.5947225,0.7343024
1641,6.662383,30.001554,26.741976,3.7102993E-6,-3.720743,-3.8593824,0.7435822
1643,7.6258764,118.78803,118.78803,3.7102993E-6,-5.3258286,-3.765618,0.7343024
1644,6.564144,16.867834,16.867834,3.7102993E-6,-3.0045617,-3.4974618,0.7463475
1645,7.7002277,20.808899,20.808899,3.7102993E-6,-3.7861893,-2.587676,0.7343024
1660,7.079184,13.624396,3.4406796,3.7102993E-6,-2.7250645,-2.5874429,0.7343024
1664,7.0303206,66.16254,64.55968,3.7102993E-6,-3.8781009,-4.037815,0.7343024
1667,6.693708,150.8927,150.72069,3.7102993E-6,-5.0317335,-5.3224072,0.7427065
1673,6.96847,191.20557,191.00037,3.7102993E-6,-5.9764934,-5.096816,0.73515415
1674,7.01714,142.13339,141.95517,3.7102993E-6,-4.686589,-4.729556,0.7343024
1676,6.763449,196.11255,196.11255,3.7102993E-6,-5.6358633,-5.5694976,0.7407676
1678,6.6400337,257.1871,257.1871,3.7102993E-6,-6.7703953,-6.0317826,0.74420875
1679,6.5296416,246.40459,246.40459,3.7102993E-6,-6.3116636,-6.20854,0.74732554
1682,7.8833947,15.332545,15.332545,3.7102993E-6,-2.497524,-2.3131192,0.7343024
1683,7.0484567,23.473513,17.237104,3.7102993E-6,-3.1305387,-3.1910763,0.7343024
1689,7.305626,204.66786,204.66786,3.7102993E-6,-4.2630157,-4.6547027,0.7343024
1690,6.8504376,231.99715,231.99513,3.7102993E-6,-6.2187886,-5.5957975,0.73837006
1692,6.614577,130.93336,130.93336,3.7102993E-6,-5.5772343,-5.3239994,0.74492425
1695,7.0778155,217.6735,217.6735,3.7102993E-6,-6.3108754,-5.061005,0.7343024
1699,7.6453605,51.045383,51.045383,3.7102993E-6,-3.1847022,-3.1668274,0.7343024
1701,7.103284,63.999374,62.216717,3.7102993E-6,-4.8926167,-3.8999963,0.7343024
1702,7.263172,131.7526,131.7526,3.7102993E-6,-5.546356,-4.3137484,0.7343024
1703,7.36948,192.13333,192.13333,3.7102993E-6,-4.5083766,-4.5027432,0.7343024
1710,7.155558,20.808899,20.808899,3.7102993E-6,-2.8686275,-3.023313,0.7343024
1711,6.6541367,212.09087,211.8359,3.7102993E-6,-6.286335,-5.7739983,0.74381316
1715,6.9563184,119.33253,119.33253,3.7102993E-6,-5.192318,-4.653573,0.7354832
1719,7.381381,231.67802,231.53555,3.7102993E-6,-6.201506,-4.6640334,0.7343024
1721,7.300054,180.85822,180.85822,3.7102993E-6,-4.821781,-4.5458207,0.7343024
1723,7.3644114,147.64392,147.46613,3.7102993E-6,-5.55793,-4.274715,0.7343024
1724,6.6895924,95.64701,95.241325,3.7102993E-6,-5.4754777,-4.8593974,0.7428214
1725,6.6634345,116.10105,115.76707,3.7102993E-6,-5.754636,-5.0978336,0.74355274
1727,6.525068,38.4568,38.4568,3.7102993E-6,-4.3734884,-4.293942,0.7474554
1729,6.7490425,48.220432,46.262836,3.7102993E-6,-4.007933,-4.1434007,0.74116695
1730,6.8638473,179.3266,179.3266,3.7102993E-6,-6.1791954,-5.194391,0.73800254
1733,6.910798,124.02021,122.94439,3.7102993E-6,-4.760402,-4.755777,0.7367201
1737,7.4895644,167.52779,167.52779,3.7102993E-6,-4.86818,-4.214222,0.7343024
1738,7.052927,204.09615,203.95639,3.7102993E-6,-5.7598925,-5.0328293,0.7343024
1741,7.7072687,15.332545,15.332545,3.7102993E-6,-2.992855,-2.4178278,0.7343024
1742,6.6883893,108.205055,107.421295,3.7102993E-6,-5.972747,-4.9940953,0.74285495
1745,7.4220834,65.48637,64.18305,3.7102993E-6,-4.655766,-3.53919,0.7343024
1746,7.246689,70.526505,70.390785,3.7102993E-6,-4.241972,-3.8249419,0.7343024
1753,7.2643633,127.4731,127.4731,3.7102993E-6,-4.005321,-4.283687,0.7343024
1755,7.6725883,31.82282,31.82282,3.7102993E-6,-2.7989552,-2.8526437,0.7343024
1758,7.384034,95.64701,95.241325,3.7102993E-6,-4.6315594,-3.8862193,0.7343024
1760,7.2308145,77.93765,77.6785,3.7102993E-6,-4.8890796,-3.9160256,0.7343024
1761,7.0818114,24.030083,24.009268,3.7102993E-6,-3.5220215,-3.1862779,0.7343024
1762,7.1751103,141.31357,141.31357,3.7102993E-6,-4.6976414,-4.497451,0.7343024
1763,6.8808284,191.20557,191.00037,3.7102993E-6,-6.28149,-5.2349977,0.7375379
1775,7.654381,118.78803,118.78803,3.7102993E-6,-4.472591,-3.73142,0.7343024
1778,7.1184607,20.138231,13.613161,3.7102993E-6,-3.7146373,-2.9338849,0.7343024
1779,7.5256453,15.332545,15.332545,3.7102993E-6,-3.3375504,-2.536981,0.7343024
1783,7.068112,174.0646,173.79967,3.7102993E-6,-5.7126503,-4.8473687,0.7343024
1784,7.71335,83.94602,83.94602,3.7102993E-6,-3.6058936,-3.420713,0.7343024
1788,7.15205,233.00102,233.00102,3.7102993E-6,-6.177888,-5.016691,0.7343024
1789,6.862458,294.86047,294.76736,3.7102993E-6,-6.3662977,-5.756788,0.73804057
1791,6.801984,225.00414,224.83708,3.7102993E-6,-6.521535,-5.5471835,0.7397027
1792,6.580851,31.82282,31.82282,3.7102993E-6,-3.6654644,-4.036729,0.7458752
1794,6.774109,113.1734,112.492035,3.7102993E-6,-4.8778152,-4.8834996,0.74047256
1796,7.4529796,69.30014,67.72311,3.7102993E-6,-5.3197746,-3.4937437,0.7343024
1798,7.035862,73.2576,73.2576,3.7102993E-6,-4.7250466,-4.1156597,0.7343024
1799,6.557013,35.365864,32.256695,3.7102993E-6,-4.3612275,-4.1676607,0.7465493
1800,7.675045,20.808899,20.808899,3.7102993E-6,-2.6138508,-2.6055675,0.7343024
1804,6.798581,118.43515,118.43515,3.7102993E-6,-5.108563,-4.883697,0.7397965
1805,6.6842012,211.40746,211.40746,3.7102993E-6,-6.2314854,-5.710083,0.74297196
1813,7.5037837,200.40704,200.40704,3.7102993E-6,-4.010025,-4.3522425,0.7343024
1828,7.010625,185.82768,185.55994,3.7102993E-6,-5.282624,-5.0021954,0.7343024
1832,6.724034,70.97301,69.827484,3.7102993E-6,-5.453267,-4.527332,0.7418616
1834,6.527376,38.4568,35.692635,3.7102993E-6,-3.8100743,-4.2902846,0.74738985
1838,7.06017,37.990433,37.990433,3.7102993E-6,-3.8069944,-3.5582078,0.7343024
1842,7.8805203,15.332545,15.332545,3.7102993E-6,-1.955666,-2.3147423,0.7343024
1843,7.2329144,179.94783,179.94783,3.7102993E-6,-3.7181842,-4.6379786,0.7343024
1845,7.174379,109.22362,109.22362,3.7102993E-6,-4.1676927,-4.272193,0.7343024
1857,6.8865495,13.624396,3.4406796,3.7102993E-6,-3.495783,-2.757378,0.7373816
1858,6.975784,91.775665,90.93411,3.7102993E-6,-4.7155566,-4.3885326,0.73495626
1861,7.160758,142.13339,141.95517,3.7102993E-6,-4.5601864,-4.522939,0.7343024
1862,7.015098,166.26048,165.23016,3.7102993E-6,-5.7528543,-4.8840876,0.7343024
1863,6.8116713,119.678825,118.86889,3.7102993E-6,-5.349234,-4.870315,0.7394357
1864,6.7041335,34.87914,32.365948,3.7102993E-6,-4.374678,-3.9312384,0.7424157
1865,6.592473,102.227905,102.11516,3.7102993E-6,-5.8181105,-5.0737114,0.7455471
1870,6.735697,22.065191,21.519728,3.7102993E-6,-3.8709567,-3.442012,0.7415374
1874,7.4575357,127.10602,127.10602,3.7102993E-6,-4.9317584,-4.12731,0.7343024
1878,7.2412467,135.98628,135.98628,3.7102993E-6,-4.825558,-4.3712516,0.7343024
1879,7.595329,20.808899,20.808899,3.7102993E-6,-3.5076404,-2.6636415,0.7343024
1888,6.9639807,2.2908225,0.0,3.7102993E-6,-2.2437022,-2.001424,0.7352756
1890,7.5991592,118.78803,118.78803,3.7102993E-6,-5.046713,-3.7979264,0.7343024
1893,7.384142,192.29112,192.28851,3.7102993E-6,-5.405637,-4.4787893,0.7343024
1895,7.010905,33.330956,33.315952,3.7102993E-6,-4.5121613,-3.5041914,0.7343024
1897,7.477841,135.95161,135.95161,3.7102993E-6,-3.9553084,-4.0555654,0.7343024
1898,7.3342175,191.20557,191.00037,3.7102993E-6,-5.116551,-4.5486755,0.7343024
1903,6.8772736,206.97461,206.97461,3.7102993E-6,-6.0267596,-5.325638,0.7376351
