Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
1640,7.2515006,11.20745,0.0,3.7102993E-6,-1.9381679,-2.3932855,0.7343024
1641,6.662383,105.05628,104.17227,3.7102993E-6,-4.7095294,-4.8855944,0.7435822
1643,7.6258764,77.221375,77.221375,3.7102993E-6,-3.631703,-3.3326023,0.7343024
1644,6.564144,81.77357,80.68474,3.7102993E-6,-3.9876664,-4.815332,0.7463475
1645,7.7002277,98.08075,98.08075,3.7102993E-6,-4.285287,-3.414727,0.7343024
1654,7.0308313,172.26138,172.26138,3.7102993E-6,-4.090843,-4.7689176,0.7343024
1657,7.3488355,189.98688,189.98688,3.7102993E-6,-5.032244,-4.3953385,0.7343024
1660,7.079184,63.750366,63.750366,3.7102993E-6,-3.2757542,-3.8205712,0.7343024
1662,7.2717032,172.39049,172.39049,3.7102993E-6,-4.4232626,-4.415519,0.7343024
1664,7.0303206,136.18407,135.39919,3.7102993E-6,-4.2671776,-4.543661,0.7343024
1667,6.693708,101.76815,100.2978,3.7102993E-6,-4.021385,-4.7978826,0.7427065
1673,6.96847,137.07764,137.07764,3.7102993E-6,-4.9704947,-4.6400557,0.73515415
1674,7.01714,94.18604,92.59861,3.7102993E-6,-3.800174,-4.2288947,0.7343024
1678,6.6400337,179.92247,179.92247,3.7102993E-6,-4.996063,-5.489649,0.74420875
1679,6.5296416,169.20413,169.20413,3.7102993E-6,-4.7463856,-5.6395135,0.74732554
1682,7.8833947,60.071976,60.071976,3.7102993E-6,-3.048645,-2.9140847,0.7343024
1683,7.0484567,38.63534,38.63534,3.7102993E-6,-2.3628018,-3.4595296,0.7343024
1692,6.614577,73.7319,73.7319,3.7102993E-6,-3.9121244,-4.6267323,0.74492425
1695,7.0778155,185.18962,185.18962,3.7102993E-6,-4.4001665,-4.7696805,0.7343024
1699,7.6453605,125.325386,125.325386,3.7102993E-6,-2.9378934,-3.6557007,0.7343024
1701,7.103284,5.699548,2.7358444,3.7102993E-6,-0.9534629,-2.1346614,0.7343024
1702,7.263172,153.00658,153.00658,3.7102993E-6,-3.8879979,-4.319011,0.7343024
1710,7.155558,98.08075,98.08075,3.7102993E-6,-3.858835,-4.079325,0.7343024
1711,6.6541367,160.1335,159.14542,3.7102993E-6,-5.1253057,-5.334952,0.74381316
1715,6.9563184,76.529434,76.529434,3.7102993E-6,-4.1178083,-4.1293983,0.7354832
1719,7.381381,176.88899,176.88899,3.7102993E-6,-4.8243737,-4.2839894,0.7343024
1721,7.300054,170.91486,170.91486,3.7102993E-6,-3.4096007,-4.3672833,0.7343024
1723,7.3644114,94.36513,94.11633,3.7102993E-6,-3.2847984,-3.782175,0.7343024
1724,6.6895924,139.19537,139.1873,3.7102993E-6,-4.912776,-5.107674,0.7428214
1725,6.6634345,161.23201,161.22504,3.7102993E-6,-5.073521,-5.3123517,0.74355274
1727,6.525068,30.12191,25.821209,3.7102993E-6,-3.979209,-3.9281156,0.7474554
1729,6.7490425,122.692406,121.93632,3.7102993E-6,-4.9323044,-4.8817067,0.74116695
1730,6.8638473,151.66707,151.66707,3.7102993E-6,-4.118992,-4.8962383,0.73800254
1733,6.910798,64.17361,62.562138,3.7102993E-6,-3.7856,-4.0368986,0.7367201
1737,7.4895644,97.71756,97.71756,3.7102993E-6,-3.5608861,-3.6568856,0.7343024
1738,7.052927,150.20752,150.20752,3.7102993E-6,-4.319175,-4.603151,0.7343024
1741,7.7072687,60.071976,60.071976,3.7102993E-6,-3.265465,-3.0830686,0.7343024
1742,6.6883893,65.807106,65.807106,3.7102993E-6,-4.9464273,-4.394407,0.74285495
1745,7.4220834,5.699548,2.7358444,3.7102993E-6,-1.555804,-1.9483576,0.7343024
1746,7.246689,7.6281967,7.1288548,3.7102993E-6,-1.9999602,-2.2071357,0.7343024
1753,7.2643633,198.11008,198.11008,3.7102993E-6,-3.5018947,-4.5574045,0.7343024
1755,7.6725883,108.69116,108.69116,3.7102993E-6,-3.3838298,-3.5188658,0.7343024
1758,7.384034,139.19537,139.1873,3.7102993E-6,-4.3392863,-4.0629525,0.7343024
1760,7.2308145,41.437866,41.0325,3.7102993E-6,-2.6947439,-3.3099923,0.7343024
1761,7.0818114,54.11871,50.522022,3.7102993E-6,-3.7869806,-3.6779983,0.7343024
1762,7.1751103,94.400085,94.400085,3.7102993E-6,-3.9469678,-4.0217576,0.7343024
1763,6.8808284,137.07764,137.07764,3.7102993E-6,-4.9685817,-4.770223,0.7375379
1765,6.7349815,172.39049,172.39049,3.7102993E-6,-5.66485,-5.258298,0.7415573
1773,6.5459867,204.33907,204.33907,3.7102993E-6,-5.295058,-5.822927,0.74686176
1775,7.654381,77.221375,77.221375,3.7102993E-6,-3.6580017,-3.3017724,0.7343024
1778,7.1184607,68.32022,68.32022,3.7102993E-6,-3.6855555,-3.828476,0.7343024
1779,7.5256453,60.071976,60.071976,3.7102993E-6,-3.025368,-3.2685032,0.7343024
1782,7.3452578,189.98688,189.98688,3.7102993E-6,-4.4629054,-4.400453,0.7343024
1783,7.068112,98.27201,97.80198,3.7102993E-6,-4.1495695,-4.1951294,0.7343024
1784,7.71335,130.55106,130.55106,3.7102993E-6,-3.4071665,-3.6040943,0.7343024
1788,7.15205,188.16167,188.16167,3.7102993E-6,-4.5211864,-4.6737247,0.7343024
1789,6.862458,219.19215,219.0803,3.7102993E-6,-4.6221085,-5.2861047,0.73804057
1791,6.801984,170.10574,170.10574,3.7102993E-6,-5.381563,-5.1161685,0.7397027
1792,6.580851,108.69116,108.69116,3.7102993E-6,-4.7996755,-5.0690136,0.7458752
1794,6.774109,44.805195,44.805195,3.7102993E-6,-3.6346436,-3.914197,0.74047256
1796,7.4529796,10.164274,1.8200182,3.7102993E-6,-1.8941475,-2.150107,0.7343024
