Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
1640,7.2515006,7.997456,0.0,3.7102993E-6,-2.077635,-2.1638496,0.7343024
1641,6.662383,97.71287,96.761795,3.7102993E-6,-4.8866615,-4.810838,0.7435822
1643,7.6258764,95.308205,95.308205,3.7102993E-6,-4.162624,-3.475539,0.7343024
1644,6.564144,71.21558,69.96262,3.7102993E-6,-4.098128,-4.677497,0.7463475
1645,7.7002277,91.40351,91.40351,3.7102993E-6,-3.7354841,-3.3626912,0.7343024
1654,7.0308313,190.71826,190.71826,3.7102993E-6,-4.45475,-4.8675914,0.7343024
1657,7.3488355,208.47752,208.47752,3.7102993E-6,-5.1844516,-4.479436,0.7343024
1660,7.079184,53.6834,53.6834,3.7102993E-6,-3.013973,-3.6791995,0.7343024
1662,7.2717032,189.73965,189.73965,3.7102993E-6,-4.8271594,-4.501872,0.7343024
1664,7.0303206,133.63605,132.8361,3.7102993E-6,-4.193765,-4.5225525,0.7343024
1667,6.693708,120.3879,119.06466,3.7102993E-6,-4.6754527,-4.960682,0.7427065
1673,6.96847,155.76678,155.76678,3.7102993E-6,-5.3687563,-4.7602787,0.73515415
1674,7.01714,112.73532,111.32282,3.7102993E-6,-4.4935246,-4.385265,0.7343024
1678,6.6400337,190.64139,190.64139,3.7102993E-6,-4.8003917,-5.550805,0.74420875
1679,6.5296416,180.17538,180.17538,3.7102993E-6,-4.8922825,-5.707109,0.74732554
1682,7.8833947,69.17908,69.17908,3.7102993E-6,-2.9924295,-2.9941642,0.7343024
1683,7.0484567,32.794796,32.794796,3.7102993E-6,-3.0041213,-3.3299959,0.7343024
1692,6.614577,66.13415,66.13415,3.7102993E-6,-3.6984372,-4.5201874,0.74492425
1695,7.0778155,203.50294,203.50294,3.7102993E-6,-4.4474673,-4.861452,0.7343024
1699,7.6453605,114.70684,114.70684,3.7102993E-6,-2.3639462,-3.5865228,0.7343024
1701,7.103284,19.173355,18.509932,3.7102993E-6,-2.086133,-2.8618531,0.7343024
1702,7.263172,134.25154,134.25154,3.7102993E-6,-4.1192904,-4.2001233,0.7343024
1710,7.155558,91.40351,91.40351,3.7102993E-6,-4.0461965,-4.0167522,0.7343024
1711,6.6541367,178.76443,177.84622,3.7102993E-6,-4.865029,-5.4513283,0.74381316
1715,6.9563184,94.71357,94.71357,3.7102993E-6,-4.5669127,-4.313173,0.7354832
1719,7.381381,195.4584,195.4584,3.7102993E-6,-5.0122705,-4.3717837,0.7343024
1721,7.300054,186.91801,186.91801,3.7102993E-6,-4.6042814,-4.44667,0.7343024
1723,7.3644114,85.28353,85.04605,3.7102993E-6,-3.5196712,-3.7004514,0.7343024
1724,6.6895924,121.02885,121.01955,3.7102993E-6,-4.5690236,-4.9615936,0.7428214
1725,6.6634345,143.15611,143.14825,3.7102993E-6,-4.8720326,-5.182794,0.74355274
1727,6.525068,27.333412,21.962318,3.7102993E-6,-3.205205,-3.8460708,0.7474554
1729,6.7490425,112.98019,112.15865,3.7102993E-6,-5.101328,-4.7970033,0.74116695
1730,6.8638473,169.43425,169.43425,3.7102993E-6,-4.4420543,-5.0055256,0.73800254
1733,6.910798,82.72496,81.29301,3.7102993E-6,-4.428599,-4.25477,0.7367201
1737,7.4895644,114.630875,114.630875,3.7102993E-6,-4.002963,-3.7753255,0.7343024
1738,7.052927,168.87857,168.87857,3.7102993E-6,-4.5275154,-4.7126694,0.7343024
