Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
7207,7.1177917,115.903366,115.50511,3.7102993E-6,-3.6197581,-4.385453,0.7343024
7208,7.0516624,107.29134,106.86662,3.7102993E-6,-4.3153987,-4.4104776,0.7343024
7209,7.1191387,116.87901,115.95091,3.7102993E-6,-4.0095906,-4.393392,0.7343024
7214,7.9386873,15.848732,15.848732,3.7102993E-6,-1.0724664,-2.285436,0.7343024
7217,6.60932,205.11386,205.11386,3.7102993E-6,-5.7309318,-5.8130007,0.74507225
7218,7.35016,198.09479,198.09479,3.7102993E-6,-4.383265,-4.5464244,0.7343024
7219,6.616564,203.60408,203.5475,3.7102993E-6,-6.1364536,-5.751507,0.74486834
7220,7.4317803,95.33403,95.33403,3.7102993E-6,-3.3087862,-3.8216963,0.7343024
7227,7.173249,145.87105,145.87105,3.7102993E-6,-3.1746109,-4.5163493,0.7343024
7228,6.925716,103.59854,103.59854,3.7102993E-6,-3.7124214,-4.5541453,0.736314
7230,7.2288246,205.11386,205.11386,3.7102993E-6,-4.8473306,-4.7577925,0.7343024
7232,6.863374,5.053275,5.053275,3.7102993E-6,-1.2881787,-2.3710375,0.7380155
7235,6.824378,27.138712,25.269255,3.7102993E-6,-2.8601828,-3.5308032,0.73908585
7238,6.596612,95.85624,95.85624,3.7102993E-6,-4.542543,-5.0277767,0.74543035
7247,6.5121045,35.747215,35.747215,3.7102993E-6,-2.906611,-4.234945,0.747824
7249,7.2648363,91.65054,91.65054,3.7102993E-6,-3.3840864,-3.9968948,0.7343024
7250,7.3242993,132.69745,132.69745,3.7102993E-6,-3.8178241,-4.2249246,0.7343024
7251,7.2066402,42.87984,42.87984,3.7102993E-6,-1.9658157,-3.4811285,0.7343024
7257,6.6036735,205.11386,205.11386,3.7102993E-6,-5.795328,-5.8243814,0.7452313
7258,6.75707,109.87103,109.87103,3.7102993E-6,-4.2802286,-4.872773,0.7409444
7259,7.8436613,12.329483,12.329483,3.7102993E-6,-1.2951351,-2.218718,0.7343024
7260,6.7645397,18.812183,18.812183,3.7102993E-6,-2.8732457,-3.323426,0.74073744
7261,6.988823,48.78111,47.016983,3.7102993E-6,-3.992,-3.786157,0.73460394
7264,6.76558,11.442819,9.383494,3.7102993E-6,-2.6103737,-2.9463072,0.74070865
7265,7.0815425,52.843525,51.51001,3.7102993E-6,-2.4576383,-3.7813096,0.7343024
7267,7.3556085,101.27103,101.27103,3.7102993E-6,-1.9875556,-3.9625947,0.7343024
7268,6.7339935,76.965706,76.182045,3.7102993E-6,-3.2415297,-4.5759516,0.7415847
7270,7.4416165,175.7946,175.59642,3.7102993E-6,-3.3434978,-4.3088236,0.7343024
7271,7.5705366,136.72473,136.72473,3.7102993E-6,-4.5078526,-3.929156,0.7343024
7274,6.94454,18.309439,18.309439,3.7102993E-6,-1.6987977,-3.111422,0.73580265
7276,7.5453978,151.1202,151.1202,3.7102993E-6,-2.8513255,-4.041647,0.7343024
7280,6.9495883,64.57073,64.57073,3.7102993E-6,-2.1885614,-4.106573,0.7356657
7282,7.0600333,205.11386,205.11386,3.7102993E-6,-5.203581,-5.014416,0.7343024
7284,6.6366973,86.10638,86.10638,3.7102993E-6,-2.820895,-4.850953,0.7443024
7287,7.2736893,141.27124,141.27124,3.7102993E-6,-4.409805,-4.3475885,0.7343024
7294,7.079393,161.20271,161.20271,3.7102993E-6,-4.284777,-4.745597,0.7343024
7300,7.5260615,52.423767,52.423767,3.7102993E-6,-1.3295548,-3.28988,0.7343024
