Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
1640,7.2515006,13.10736,7.519066,3.7102993E-6,-2.3231256,-2.4006686,0.7343024
1641,6.662383,118.53562,117.75285,3.7102993E-6,-5.07216,-4.9212885,0.7435822
1643,7.6258764,72.57272,72.57272,3.7102993E-6,-3.1215096,-3.2055068,0.7343024
1644,6.564144,95.54547,94.615265,3.7102993E-6,-4.3392596,-4.8845954,0.7463475
1645,7.7002277,111.55333,111.55333,3.7102993E-6,-4.2059298,-3.4203706,0.7343024
1654,7.0308313,165.59962,165.59962,3.7102993E-6,-3.9151692,-4.645114,0.7343024
1657,7.3488355,179.14651,179.14651,3.7102993E-6,-4.7449927,-4.256271,0.7343024
1660,7.079184,77.67714,77.67714,3.7102993E-6,-3.229974,-3.8979287,0.7343024
1662,7.2717032,159.81267,159.81267,3.7102993E-6,-3.8584168,-4.2612896,0.7343024
1663,6.7135425,199.82248,199.82248,3.7102993E-6,-4.6388726,-5.37671,0.7421536
1664,7.0303206,148.34665,147.62645,3.7102993E-6,-4.489731,-4.539514,0.7343024
1667,6.693708,93.73907,92.07038,3.7102993E-6,-3.8516943,-4.633244,0.7427065
1673,6.96847,127.087944,127.087944,3.7102993E-6,-4.6297684,-4.4834886,0.73515415
1674,7.01714,86.75181,84.949066,3.7102993E-6,-3.600239,-4.0724354,0.7343024
1678,6.6400337,166.1934,166.1934,3.7102993E-6,-4.2317977,-5.3175063,0.74420875
1679,6.5296416,155.44199,155.44199,3.7102993E-6,-3.8515596,-5.4601746,0.74732554
1682,7.8833947,64.456055,64.456055,3.7102993E-6,-2.2613027,-2.8705666,0.7343024
1683,7.0484567,52.35641,52.35641,3.7102993E-6,-3.3648798,-3.6139207,0.7343024
1692,6.614577,68.61987,68.61987,3.7102993E-6,-3.6775115,-4.473523,0.74492425
1695,7.0778155,178.98347,178.98347,3.7102993E-6,-4.1888027,-4.650914,0.7343024
1699,7.6453605,139.23207,139.23207,3.7102993E-6,-2.8819199,-3.6507778,0.7343024
1701,7.103284,6.4437776,4.0647593,3.7102993E-6,-1.9054148,-2.1071362,0.7343024
1702,7.263172,163.09871,163.09871,3.7102993E-6,-3.8320355,-4.291831,0.7343024
1710,7.155558,111.55333,111.55333,3.7102993E-6,-4.0833383,-4.1042123,0.7343024
1711,6.6541367,150.26302,149.18138,3.7102993E-6,-4.9739437,-5.1820683,0.74381316
1715,6.9563184,71.59612,71.59612,3.7102993E-6,-3.7341623,-3.9870796,0.7354832
1719,7.381381,166.30917,166.30917,3.7102993E-6,-4.547286,-4.1439853,0.7343024
1721,7.300054,169.37589,169.37589,3.7102993E-6,-3.6376107,-4.274067,0.7343024
1723,7.3644114,91.96952,91.712654,3.7102993E-6,-3.1785796,-3.677195,0.7343024
1724,6.6895924,150.88504,150.8776,3.7102993E-6,-4.158995,-5.1067815,0.7428214
1725,6.6634345,173.04012,173.03362,3.7102993E-6,-4.4433107,-5.3039403,0.74355274
1727,6.525068,42.857388,39.661884,3.7102993E-6,-3.5912614,-4.1823735,0.7474554
1729,6.7490425,136.4664,135.78703,3.7102993E-6,-5.0617495,-4.9034333,0.74116695
1730,6.8638473,147.05995,147.05995,3.7102993E-6,-3.975439,-4.780391,0.73800254
1733,6.910798,54.7965,53.31011,3.7102993E-6,-3.7256982,-3.8177187,0.7367201
1737,7.4895644,84.76747,84.76747,3.7102993E-6,-3.1440022,-3.4665747,0.7343024
1738,7.052927,140.09192,140.09192,3.7102993E-6,-4.112476,-4.4524536,0.7343024
1741,7.7072687,64.456055,64.456055,3.7102993E-6,-2.895636,-3.0429444,0.7343024
1742,6.6883893,59.891735,59.891735,3.7102993E-6,-3.9588695,-4.223153,0.74285495
1745,7.4220834,6.4437776,4.0647593,3.7102993E-6,-1.4473698,-1.9138988,0.7343024
1746,7.246689,9.42013,8.903505,3.7102993E-6,-2.1678908,-2.2354887,0.7343024
1755,7.6725883,122.42417,122.42417,3.7102993E-6,-3.4679253,-3.5205028,0.7343024
1758,7.384034,150.88504,150.8776,3.7102993E-6,-4.2574177,-4.0466747,0.7343024
1760,7.2308145,43.381268,42.977695,3.7102993E-6,-2.8160338,-3.258631,0.7343024
1761,7.0818114,67.3027,64.446045,3.7102993E-6,-3.818898,-3.7684805,0.7343024
1762,7.1751103,87.30186,87.30186,3.7102993E-6,-3.4976966,-3.8721619,0.7343024
1763,6.8808284,127.087944,127.087944,3.7102993E-6,-4.585039,-4.611834,0.7375379
1765,6.7349815,159.81267,159.81267,3.7102993E-6,-5.3929076,-5.0928946,0.7415573
1773,6.5459867,191.64284,191.64284,3.7102993E-6,-4.5673165,-5.6634407,0.74686176
1775,7.654381,72.57272,72.57272,3.7102993E-6,-2.97229,-3.1751616,0.7343024
1778,7.1184607,82.19026,82.19026,3.7102993E-6,-3.6018584,-3.894694,0.7343024
1779,7.5256453,64.456055,64.456055,3.7102993E-6,-2.635695,-3.2318788,0.7343024
1782,7.3452578,179.14651,179.14651,3.7102993E-6,-4.202027,-4.2613277,0.7343024
1783,7.068112,86.39916,85.86417,3.7102993E-6,-3.4165888,-3.9996455,0.7343024
1784,7.71335,139.59738,139.59738,3.7102993E-6,-3.4762151,-3.5691316,0.7343024
1788,7.15205,179.45837,179.45837,3.7102993E-6,-3.7625206,-4.5426407,0.7343024
1789,6.862458,207.03275,206.9138,3.7102993E-6,-4.4856124,-5.138505,0.73804057
1791,6.801984,159.56209,159.56209,3.7102993E-6,-4.667874,-4.964564,0.7397027
1792,6.580851,122.42417,122.42417,3.7102993E-6,-4.8559823,-5.106318,0.7458752
