Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
1640,7.2515006,58.128605,57.89555,3.7102993E-6,-3.6045022,-3.5555813,0.7343024
1641,6.662383,67.86758,66.49096,3.7102993E-6,-3.8169782,-4.4928565,0.7435822
1643,7.6258764,154.46844,154.46844,3.7102993E-6,-4.809126,-3.8679194,0.7343024
1644,6.564144,34.598892,32.09597,3.7102993E-6,-2.527431,-4.0365624,0.7463475
1645,7.7002277,66.388596,66.388596,3.7102993E-6,-2.9970703,-3.1801279,0.7343024
1660,7.079184,23.499084,23.499084,3.7102993E-6,-2.5178342,-3.0801544,0.7343024
1664,7.0303206,116.06487,115.14387,3.7102993E-6,-3.5847573,-4.4226913,0.7343024
1667,6.693708,183.57266,182.7033,3.7102993E-6,-4.5895276,-5.4326515,0.7427065
1673,6.96847,221.48595,221.48595,3.7102993E-6,-5.4603734,-5.151981,0.73515415
1674,7.01714,175.23767,174.32748,3.7102993E-6,-4.2083497,-4.832805,0.7343024
1682,7.8833947,66.388596,66.388596,3.7102993E-6,-2.2155578,-2.9991562,0.7343024
1683,7.0484567,40.07203,40.07203,3.7102993E-6,-2.3232837,-3.5139923,0.7343024
1692,6.614577,100.745224,100.745224,3.7102993E-6,-4.1060815,-4.956863,0.74492425
1699,7.6453605,68.49777,68.49777,3.7102993E-6,-2.2444994,-3.2572787,0.7343024
1701,7.103284,82.705315,82.65089,3.7102993E-6,-3.470093,-4.0096025,0.7343024
1702,7.263172,75.724724,75.724724,3.7102993E-6,-3.0785565,-3.760133,0.7343024
1710,7.155558,66.388596,66.388596,3.7102993E-6,-2.8591223,-3.7864563,0.7343024
1711,6.6541367,244.02142,243.3488,3.7102993E-6,-5.896169,-5.838697,0.74381316
1715,6.9563184,154.38799,154.38799,3.7102993E-6,-5.084469,-4.799416,0.7354832
1723,7.3644114,111.94748,111.8294,3.7102993E-6,-3.3131716,-3.9438372,0.7343024
1724,6.6895924,54.57752,54.5241,3.7102993E-6,-3.3696284,-4.235996,0.7428214
1725,6.6634345,76.06373,76.04894,3.7102993E-6,-3.1863244,-4.585979,0.74355274
1727,6.525068,61.47498,59.38811,3.7102993E-6,-3.6455743,-4.6331663,0.7474554
1729,6.7490425,66.60943,65.20625,3.7102993E-6,-3.7397287,-4.3305035,0.74116695
1730,6.8638473,224.15794,224.15794,3.7102993E-6,-4.5752535,-5.334803,0.73800254
1733,6.910798,148.18631,147.28711,3.7102993E-6,-4.975328,-4.827732,0.7367201
1737,7.4895644,183.438,183.438,3.7102993E-6,-4.246088,-4.192682,0.7343024
1741,7.7072687,66.388596,66.388596,3.7102993E-6,-2.626938,-3.1729581,0.7343024
1742,6.6883893,143.62958,143.04005,3.7102993E-6,-5.6024575,-5.1805706,0.74285495
1745,7.4220834,84.02768,83.87879,3.7102993E-6,-3.7794192,-3.6217594,0.7343024
1746,7.246689,76.1995,76.1995,3.7102993E-6,-3.3930695,-3.7849588,0.7343024
1753,7.2643633,123.10404,123.10404,3.7102993E-6,-2.9914854,-4.1535354,0.7343024
