Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
1640,7.2515006,32.27307,28.252275,3.7102993E-6,-3.004212,-3.3686645,0.7343024
1641,6.662383,51.702534,49.88178,3.7102993E-6,-3.4107819,-4.486801,0.7435822
1643,7.6258764,101.287766,101.287766,3.7102993E-6,-4.187693,-3.7921848,0.7343024
1644,6.564144,32.754604,30.830507,3.7102993E-6,-3.0291214,-4.2310834,0.7463475
1645,7.7002277,43.759514,43.759514,3.7102993E-6,-3.2744484,-3.16301,0.7343024
1654,7.0308313,193.89165,193.89165,3.7102993E-6,-3.5586305,-5.157588,0.7343024
1660,7.079184,16.47355,16.447079,3.7102993E-6,-2.0645144,-3.0708299,0.7343024
1664,7.0303206,85.29376,84.03491,3.7102993E-6,-3.7767394,-4.39505,0.7343024
1667,6.693708,132.78294,132.2393,3.7102993E-6,-3.8792353,-5.3331556,0.7427065
1673,6.96847,172.56087,172.56087,3.7102993E-6,-4.929522,-5.1352825,0.73515415
1674,7.01714,124.09166,123.5144,3.7102993E-6,-3.5961194,-4.745979,0.7343024
1678,6.6400337,234.04225,234.04225,3.7102993E-6,-6.332552,-6.0611763,0.74420875
1679,6.5296416,223.26306,223.26306,3.7102993E-6,-5.817143,-6.231322,0.74732554
1682,7.8833947,28.764334,28.764334,3.7102993E-6,-1.6728892,-2.7750244,0.7343024
1683,7.0484567,10.797999,2.1011078,3.7102993E-6,-2.0541632,-2.6646774,0.7343024
1689,7.305626,211.4654,211.4654,3.7102993E-6,-4.558963,-4.8295875,0.7343024
1690,6.8504376,242.5465,242.5465,3.7102993E-6,-6.112595,-5.789617,0.73837006
1692,6.614577,112.121315,112.121315,3.7102993E-6,-4.924102,-5.3079166,0.74492425
1695,7.0778155,204.52855,204.52855,3.7102993E-6,-4.404773,-5.1397667,0.7343024
1699,7.6453605,72.875206,72.875206,3.7102993E-6,-2.9152074,-3.5421705,0.7343024
1701,7.103284,42.20873,39.453476,3.7102993E-6,-3.2635639,-3.7164211,0.7343024
1702,7.263172,134.89404,134.89404,3.7102993E-6,-4.548538,-4.4774365,0.7343024
1703,7.36948,195.8226,195.8226,3.7102993E-6,-4.0818515,-4.6636724,0.7343024
