Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.55,188.04468979581455,27.346426152098097,89.3106195214654,142.60592877893433,161.04689849143972,185.04403093925694,215.3381774837191,248.48539115620065,330.6865375008029
6.65,244.3626352031458,36.01783900192976,108.0654874460281,183.89030701528105,209.47944844879905,240.98788475444232,279.57073151976135,324.25262710272375,468.61922698322445
6.75,315.2789962995804,46.477792670466634,185.4605695249909,231.906251001394,269.07415831216986,312.65253583715696,362.28654478270323,412.7681825501015,543.1837494430083
6.85,400.92887429480214,59.22206357218938,223.34931364509444,304.9350540604035,341.24309374323195,395.2744275855845,459.6271740628974,533.0683664249581,699.6191361274174
6.95,503.5603729036459,79.42119331186662,311.42843495163925,377.08146984942334,426.4137611582413,493.21911588842556,582.3189760157231,686.3498227165913,906.0203036994624
7.05,636.2509049540269,94.63235936765396,355.51971398891226,464.1369767830313,547.9418932023196,630.4566836874684,723.8146176805378,852.3715244859674,1094.701619375462
7.15,788.4102471396194,126.16720527659338,424.47745701740115,600.5708549980087,668.5571785847214,764.8131387103524,920.5155683457446,1083.9996132936242,1476.9424439436164
7.25,1033.513114975021,147.71777319197955,639.0713742532058,775.2935129837717,899.068889391054,1009.6388777138388,1172.4518861000347,1370.528452283485,1785.698080257305
7.35,1294.6348462943683,193.4500605281022,847.8827375344105,986.9300666854125,1113.1384711915312,1252.2544696918094,1490.1108073436938,1732.4854981301924,2391.502220184262
7.45,1708.268749417398,277.4669059685866,1023.3681072078894,1220.2816196625567,1426.8454603246146,1680.983275583636,1981.8200547801441,2295.3422892376248,2810.9212913066476
7.55,2266.6801303563548,315.1317790141201,1479.7625712817674,1713.2624735095353,1964.8707754833208,2240.1622584071283,2550.8368530022644,2984.5251455484636,3630.4655035340525
7.65,2985.479613029131,479.5673105147589,1789.441963226448,2207.2206382295217,2472.9691946459725,2944.4646051153995,3497.569499073059,4010.424998438506,4857.63003651084
7.75,4106.908141779614,608.1605302674059,2643.7357306454355,3056.1677453037137,3524.7789751478076,4057.6671516343217,4674.946558189711,5513.999732769413,6161.698898956731
7.85,6128.9243079525495,716.2031921277171,3094.935908942915,4656.7772947640215,5384.46049406033,6197.7270812229635,6822.001334196253,7313.031516979586,7823.640246945806
7.95,7234.763697037655,699.6086750833741,4922.392940899247,5843.609627775232,6653.459523161343,7230.121453068807,7847.6100372554265,8746.113025464052,9755.328333026044
8.05,8505.918830700046,720.922173060527,7826.311929815505,7826.311929815505,7826.311929815505,8429.393535061898,9262.051027222737,9262.051027222737,9262.051027222737
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
